Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
1,1.7738,1.7778,4.7144,65.4555,0.0658,25.916,0.2747,0.1694,BCC+FCC
1,5.6992,1.8182,4.6373,64.4545,0.0473,27.8049,0.1778,0.3094,BCC+FCC
1,1.8063,2,4.68,78.85,0.0409,16.55,0.1596,0.2929,BCC+FCC
1,4.4785,1.8462,4.7161,67.3384,0.0466,26.1893,0.1702,0.2861,BCC+FCC
1,1.4613,1.7333,4.7573,62.2467,0.0751,27.6764,0.3031,0.1852,BCC+FCC
1,2.5616,1.6429,4.745,83.7428,0.0491,21.9694,0.1843,0.1522,BCC+FCC
1,7.9131,1.7692,4.7202,70.6366,0.0423,25.8809,0.1584,0.2298,BCC+FCC
1,1.4973,2,4.6536,65.5363,0.0516,30.033,0.1978,0.3365,BCC+FCC
3,8.1287,1.6845,4.4074,80.9935,0.0342,20.2459,0.1491,0.1031,BCC+FCC
1,0.78,2.7368,4.3869,39.8738,0.027,16.8533,0.1526,0.5877,BCC+FCC
3,2.1883,1.697,4.6815,86.7242,0.0469,16.8338,0.1863,0.1576,BCC+FCC
1,1.2723,2.2308,4.5923,60.3999,0.0479,30.1538,0.1794,0.4494,BCC+FCC
1,3.21,1.9231,4.6492,63.1846,0.0501,27.5834,0.1841,0.349,BCC+FCC
1,0.8252,2.6429,4.425,43.6859,0.0337,21.1634,0.167,0.5888,BCC+FCC
1,0.7633,2.7917,4.3646,37.6501,0.0226,14.0835,0.1406,0.5728,BCC+FCC
1,12.1139,1.7037,4.7522,78.0333,0.0463,18.6173,0.1603,0.2057,BCC+FCC
3,2.1511,2.1429,4.7971,62.7714,0.0309,22.3755,0.1265,0.2712,BCC+FCC
1,1.398,2.0667,4.292,56.2867,0.0514,27.2925,0.2725,0.4055,BCC+FCC
1,5.2016,1.7719,4.7274,75.4632,0.0489,21.2447,0.1711,0.2576,BCC+FCC
4,6.6956,1.8214,4.8107,77.6036,0.0301,18.6018,0.1156,0.0809,FCC
1,3.2665,1.5,4.6625,70.925,0.0387,27.075,0.147,0.0878,FCC
3,22.263,1.91,4.365,79.196,0.0187,8.0597,0.074,0.0543,FCC
3,3.2551,2,4.8401,64.0082,0.0357,21.455,0.1393,0.2719,FCC
4,5.3956,1.8136,4.8261,77.2196,0.0372,19.8279,0.1373,0.1588,FCC
1,3.9225,1.8571,4.6324,77.1237,0.035,18.5542,0.1332,0.1706,FCC
3,2.5824,2,4.75,67.2,0.029,17.8667,0.0997,0.0789,FCC
3,4.933,1.83,4.7939,73.764,0.0407,22.7082,0.1493,0.2116,FCC
3,5.9579,1.7826,4.7454,74.4674,0.0385,24.2599,0.1475,0.1945,FCC
4,2.5507,1.5556,4.8444,92.3556,0.0505,19.684,0.1673,0.1042,FCC
3,6.1294,1.8,4.6455,78.236,0.0319,17.499,0.1217,0.0869,FCC
4,2.7542,1.98,4.5159,79.7613,0.032,10.9329,0.132,0.2246,FCC
4,15.7818,2,4.8833,68.3667,0.0167,18.6444,0.0606,0.055,FCC
1,1.1085,2,4.745,57.1,0.0566,25.25,0.2293,0.2386,FCC
3,4.0773,1.7273,4.7041,68.0045,0.0496,27.3405,0.1956,0.218,FCC
1,5.9217,1.8,4.65,79.52,0.0325,16.256,0.1239,0.0872,FCC
2,2.1548,1.8595,4.78,69.9933,0.0453,26.6146,0.1798,0.2042,FCC
4,6.5228,1.8333,4.8,80.7167,0.0304,13.4389,0.1154,0.0798,FCC
3,3.7217,2,4.5833,80.9,0.0281,1.9333,0.1013,0.0749,FCC
1,2.396,1.75,4.8456,76.2313,0.0461,28.2734,0.1581,0.1961,FCC
4,2.8762,1.7674,4.7556,75.9512,0.0415,23.8821,0.1676,0.147,FCC
4,4.1873,1.8499,4.6724,79.428,0.0357,13.8637,0.1478,0.1087,FCC
3,6.5504,1.7368,4.7028,67.7474,0.0468,26.6519,0.1779,0.2373,FCC
3,1.0383,2.025,4.5723,50.1406,0.072,22.6351,0.2695,0.4083,FCC
1,118.8142,1.6667,4.5722,84.6332,0.0379,13.274,0.1462,0.088,FCC
1,1.7311,1.8462,4.7354,69.3922,0.058,26.1018,0.2215,0.2064,IM
1,2.8813,1.7,4.68,53.26,0.0782,11.976,0.2927,0.1563,IM
2,4.0773,1.8265,4.6036,75.5895,0.0404,19.0258,0.1574,0.1189,IM
1,1.8935,1.6667,4.6743,68.9666,0.0688,27.5428,0.294,0.1613,IM
3,17.3427,1.875,4.4625,79.6125,0.0201,10.6094,0.0805,0.0589,IM
3,3.7589,1.9,4.249,35.102,0.048,14.4624,0.3727,0.5771,IM
3,6.0637,1.7619,4.6635,66.8921,0.0509,24.9282,0.1896,0.2282,IM
3,1.3077,2,4.7325,66.825,0.0524,32.025,0.1827,0.3656,IM
1,3.6783,1.7143,4.7643,78.0523,0.0425,21.449,0.1852,0.0852,IM
1,1.9128,1.8333,4.63,65.4668,0.0582,27.6001,0.2296,0.2149,IM
3,2.9157,1.8462,4.5442,62.0257,0.0558,25.1753,0.225,0.2662,IM
3,0.9183,1.9048,4.6229,45.3619,0.107,21.9909,0.4502,0.332,IM
1,1.6141,1.8696,4.6357,66.0217,0.0622,28.2208,0.2702,0.3008,IM
1,2.0143,1.8571,4.6329,84.2428,0.085,29.4326,0.4144,0.5143,IM
3,43.2984,1.6375,4.2876,51.0888,0.0319,29.4382,0.3218,0.4636,IM
4,1.6634,1.2604,4.4823,48.7397,0.1008,11.6715,0.5372,0.0305,IM
3,1.487,2,4.172,28.5,0.0546,5.64,0.4468,0.514,IM
1,1.3635,1.75,4.5075,54.175,0.0874,21.975,0.5953,0.4557,IM
1,1.5972,1.8518,4.7204,67.6851,0.0607,27.1583,0.2319,0.2199,IM
2,1.593,2,4.252,32.62,0.0475,10.304,0.3025,0.3481,IM
3,1.2171,2.125,4.2713,42.125,0.0517,27.1375,0.3731,0.6455,IM
1,3.0983,1.6875,4.4325,78.95,0.0682,40.5438,0.4013,0.5428,IM
3,1.6263,2.15,4.457,72.77,0.0311,13.071,0.1313,0.2715,IM
1,6.2891,1.5769,4.7442,90.0078,0.0689,24.9704,0.2907,0.122,IM
3,1.5382,1.9803,4.7334,79.388,0.0473,18.0854,0.1725,0.3078,IM
