Pm,ΔS,EWF,ad-e/n,δ-VEC,δ-EWF,δ-G,δ-G/B,Phase
3,12.9185,4.8299,0.0481,0.2907,0.0718,0.3774,0.3512,IM
3,12.8853,4.1757,0.0407,0.1117,0.0382,0.3498,0.2153,BCC
2,13.3809,4.236,0.0341,0.1739,0.0571,0.8194,0.3983,BCC
1,4.9253,4.35,0.0193,0.508,0.0473,0.5534,0.1982,BCC
3,13.3303,4.3321,0.0357,0.1598,0.0419,0.7249,0.3896,IM
1,13.3809,4.652,0.0607,0.4097,0.0766,0.5002,0.3573,BCC+FCC
3,11.5145,4.6172,0.0457,0.3704,0.0705,0.3811,0.2537,IM
3,13.8484,4.6229,0.107,0.4215,0.098,0.5576,0.3906,IM
3,12.2615,4.8401,0.0357,0.2858,0.0689,0.3473,0.2351,FCC
1,5.6669,4.3646,0.0226,0.5284,0.0512,0.5773,0.2157,BCC+FCC
1,14.6972,4.5191,0.0437,0.3503,0.0755,0.3688,0.2573,BCC
2,13.3321,4.7074,0.0423,0.3162,0.0692,0.4231,0.384,BCC+FCC
3,15.5472,4.7041,0.0496,0.2919,0.0632,0.4449,0.4237,FCC
3,13.1452,4.4144,0.0334,0.125,0.0332,0.5445,0.3119,BCC
1,12.2013,4.675,0.0382,0.2094,0.0466,0.4093,0.4362,FCC
2,13.1452,4.3244,0.0382,0.2151,0.0149,0.5953,0.4564,BCC
1,14.14,4.7516,0.0547,0.2783,0.0725,0.4036,0.412,IM
1,14.4228,4.6959,0.0545,0.2947,0.0697,0.4148,0.4097,IM
1,13.3809,4.716,0.0419,0.3397,0.0677,0.3912,0.2719,BCC+FCC
3,11.5257,4.37,0.0335,0.1414,0.0311,0.5907,0.3336,BCC
1,15.8417,4.4365,0.0714,0.2804,0.0263,0.5669,0.3698,IM
1,12.9758,4.6183,0.0478,0.4237,0.0732,0.5102,0.3626,BCC+FCC
3,13.2992,4.5723,0.072,0.4706,0.0696,0.5,0.2782,FCC
1,14.8707,4.6059,0.0457,0.2557,0.0802,0.4072,0.4254,BCC+FCC
2,13.3809,4.252,0.0475,0.1782,0.024,0.3465,0.2868,IM
3,12.6136,4.5383,0.0334,0.2379,0.0772,0.2332,0.2035,BCC
1,13.011,4.5554,0.0556,0.403,0.0618,0.4681,0.2364,BCC
4,12.3187,4.7729,0.0432,0.2336,0.0675,0.3237,0.3536,FCC
3,16.1783,4.6257,0.0547,0.3587,0.067,0.4388,0.3693,BCC+FCC
1,13.9209,4.7506,0.0388,0.2169,0.0574,0.377,0.3898,FCC
1,4.3674,4.3397,0.0169,0.4881,0.0442,0.5307,0.1844,BCC
3,12.8253,4.2698,0.042,0.1336,0.0332,0.6525,0.3264,BCC
1,15.5463,4.6562,0.0573,0.2401,0.0845,0.3238,0.3789,IM
1,13.6167,4.6986,0.0654,0.236,0.065,0.4258,0.4856,IM
1,14.6603,4.7202,0.0423,0.2846,0.063,0.4096,0.3843,BCC+FCC
1,14.5409,4.408,0.0633,0.2901,0.0267,0.5657,0.4233,IM
1,15.7065,4.4289,0.0712,0.2759,0.0265,0.5772,0.3822,IM
3,11.612,4.6925,0.0297,0.1909,0.0666,0.2454,0.2759,FCC
3,10.7244,4.2445,0.0374,0.1096,0.027,0.4794,0.244,BCC
1,13.3809,4.166,0.0371,0.1113,0.0396,0.4897,0.2651,BCC
3,13.1452,4.5311,0.0367,0.2828,0.0807,0.2833,0.2187,IM
3,10.3962,4.7038,0.0317,0.1726,0.0775,0.1355,0.1849,BCC
3,13.1452,4.2844,0.0406,0.1429,0.036,0.7058,0.3538,BCC
1,15.8478,4.5862,0.0605,0.4429,0.0673,0.551,0.4008,BCC
1,14.6972,4.6509,0.0575,0.3499,0.0719,0.4579,0.4024,IM
1,10.3373,4.3918,0.0289,0.0898,0.0353,0.4593,0.2675,BCC
3,13.3571,4.6365,0.0512,0.3708,0.0656,0.4103,0.2784,IM
4,11.0548,4.8,0.0304,0.1629,0.0634,0.2667,0.3237,FCC
3,14.6972,4.1764,0.0461,0.1443,0.0385,0.4791,0.28,BCC
3,12.9664,4.1387,0.0403,0.1019,0.042,0.4884,0.2516,BCC
1,14.0489,4.7128,0.0477,0.2888,0.0686,0.4066,0.3997,IM
3,16.1783,4.2829,0.0356,0.1715,0.0541,0.7571,0.3955,IM
1,12.1979,4.5622,0.0778,0.363,0.0751,0.5371,0.5082,IM
4,7.6789,4.4344,0.0847,0.3322,0.0596,0.2939,0.294,IM
3,11.5257,4.37,0.047,0.1414,0.0311,0.5536,0.286,BCC
4,10.8339,4.5333,0.1098,0.3367,0.0692,0.333,0.3324,IM
3,14.5338,4.6451,0.0551,0.3783,0.0694,0.4852,0.3537,IM
1,14.0751,4.6338,0.0551,0.2881,0.0599,0.387,0.3,IM
1,14.6972,4.6536,0.0516,0.3675,0.0713,0.4959,0.416,BCC+FCC
3,11.5257,4.245,0.0443,0.1111,0.0267,0.3731,0.2421,BCC
3,13.2539,4.3545,0.038,0.2415,0.0268,0.6895,0.2846,BCC
2,11.5257,4.3575,0.0386,0.1414,0.0263,0.7074,0.3686,BCC
4,12.8253,4.7556,0.0415,0.2252,0.0642,0.3844,0.4262,FCC
1,14.8548,4.6748,0.0593,0.3336,0.0663,0.4453,0.352,IM
3,12.0558,4.5069,0.0293,0.2143,0.0805,0.2003,0.1851,FCC
3,14.7845,4.6039,0.0584,0.3963,0.071,0.5683,0.4652,IM
1,14.0626,4.292,0.0514,0.3469,0.0347,0.5285,0.3672,BCC+FCC
1,12.5685,4.7643,0.0425,0.1977,0.0637,0.3457,0.4101,IM
3,13.1452,4.2733,0.0308,0.175,0.0529,0.8185,0.4165,BCC
1,14.158,4.6122,0.055,0.3238,0.0611,0.4206,0.2979,IM
3,12.7953,4.2975,0.0313,0.1614,0.0414,0.7969,0.4055,BCC
3,12.7077,4.2876,0.0388,0.1904,0.0144,0.3072,0.2527,IM
3,10.8468,4.4364,0.0292,0.2695,0.0841,0.2349,0.1791,IM
3,11.1618,4.2616,0.0359,0.1078,0.0205,0.4721,0.2805,BCC
3,11.5257,4.345,0.0603,0.1414,0.0216,0.5553,0.5393,BCC
4,9.0116,4.8545,0.0304,0.1596,0.0507,0.4799,0.5889,IM
1,12.8253,4.7744,0.0453,0.19,0.0599,0.3343,0.3823,IM
1,14.0983,4.5931,0.0547,0.3527,0.0619,0.4488,0.2955,IM
3,11.5257,4.7325,0.0382,0.359,0.0751,0.4116,0.2946,BCC
3,14.8967,4.6217,0.05,0.3526,0.0724,0.4411,0.3801,BCC
1,12.8253,4.7535,0.0473,0.2056,0.0648,0.3529,0.416,IM
1,15.5993,4.6033,0.0573,0.4326,0.0676,0.5268,0.3803,BCC
3,11.5257,4.6,0.0796,0.2308,0.0554,0.4918,0.5099,IM
4,12.9664,4.2363,0.0448,0.1556,0.026,0.4745,0.3049,IM
3,10.8506,4.1519,0.0475,0.0802,0.0405,0.5352,0.2708,BCC
3,9.5922,4.2686,0.0406,0.0958,0.021,0.3075,0.2249,IM
1,14.2758,4.4013,0.0636,0.2832,0.0266,0.5687,0.4315,IM
3,15.5993,4.6053,0.0576,0.3339,0.0671,0.4049,0.373,BCC
3,14.8967,4.3883,0.0451,0.133,0.0307,0.6144,0.3207,BCC
3,15.745,4.6873,0.0515,0.3221,0.0662,0.4621,0.4212,BCC+FCC
4,8.0227,4.8444,0.0505,0.2357,0.0643,0.2551,0.3239,FCC
3,12.3187,4.4671,0.0296,0.229,0.0666,0.2458,0.2003,BCC+FCC
3,12.9458,4.565,0.0399,0.2225,0.0741,0.2309,0.2304,BCC+FCC
4,9.1339,4.8833,0.0167,0.0907,0.0569,0.2894,0.3377,FCC
3,10.8363,4.2333,0.0377,0.1112,0.0287,0.3648,0.2023,BCC
3,13.3507,4.5154,0.0375,0.32,0.0796,0.3291,0.2308,IM
3,13.3433,4.6455,0.0319,0.1734,0.0806,0.3127,0.3766,FCC
1,13.3809,4.362,0.0372,0.2217,0.0275,0.6797,0.2991,BCC
3,12.6136,4.3479,0.0261,0.1731,0.0454,0.7486,0.4218,BCC
3,13.3809,4.446,0.0624,0.2287,0.0255,0.5135,0.4451,IM
1,14.7842,4.6608,0.064,0.328,0.0636,0.5121,0.4729,FCC
3,12.6606,4.4588,0.0306,0.2607,0.0658,0.2839,0.2113,BCC
2,14.86,4.6036,0.0404,0.219,0.081,0.3192,0.3713,IM
3,15.9731,4.6417,0.0541,0.3205,0.0662,0.4098,0.378,BCC
1,14.8967,4.5883,0.0396,0.3163,0.0813,0.4011,0.3547,BCC
1,14.8707,4.6879,0.0787,0.239,0.0632,0.3873,0.3953,IM
1,11.2789,4.4084,0.0293,0.0912,0.035,0.4719,0.2698,BCC
1,10.859,4.7769,0.042,0.2137,0.0634,0.2844,0.3472,BCC
3,13.1452,4.57,0.0737,0.26,0.0558,0.5584,0.537,IM
1,6.5119,4.3343,0.0128,0.1664,0.0199,0.3897,0.2686,BCC
3,15.4453,4.7028,0.0468,0.299,0.0624,0.4336,0.3955,FCC
3,13.2539,4.2336,0.0502,0.1712,0.0268,0.3629,0.3004,IM
3,11.5257,4.42,0.0573,0.1579,0.0242,0.6464,0.5065,BCC
1,13.2416,4.763,0.0557,0.1978,0.0588,0.3345,0.3694,IM
3,12.7077,4.4194,0.0315,0.1108,0.0338,0.5069,0.2913,BCC
3,12.318,4.4278,0.0568,0.1933,0.024,0.3693,0.3121,IM
3,16.0055,4.6523,0.0527,0.3159,0.0658,0.4107,0.3791,IM
3,13.3809,4.71,0.0732,0.244,0.0673,0.3874,0.286,IM
4,8.0227,5.0111,0.02,0.1313,0.0387,0.3858,0.464,FCC
1,13.1452,4.7722,0.0361,0.1918,0.0585,0.352,0.3952,FCC
1,12.6321,4.6431,0.0358,0.2983,0.0648,0.3822,0.3281,BCC
1,11.5257,4.6625,0.0387,0.2121,0.0438,0.4171,0.4404,FCC
1,14.8967,4.6883,0.0571,0.2976,0.0623,0.4744,0.4525,IM
2,13.2542,4.3418,0.0347,0.1614,0.0427,0.7158,0.3907,BCC
1,14.2323,4.7354,0.058,0.2938,0.0733,0.4274,0.4248,IM
3,13.2539,4.2055,0.0375,0.172,0.0595,0.8173,0.3822,BCC
3,13.9149,4.7939,0.0407,0.2625,0.0664,0.3652,0.3535,FCC
1,13.3809,4.7,0.1018,0.2693,0.0683,0.5113,0.4471,BCC+FCC
3,12.5685,4.3643,0.0339,0.2163,0.0399,0.2958,0.2894,BCC+FCC
1,6.7053,4.3869,0.027,0.5469,0.0562,0.6004,0.2387,BCC+FCC
3,14.5334,4.718,0.0549,0.2813,0.0646,0.3997,0.3672,IM
1,12.1979,4.7756,0.037,0.189,0.0625,0.3379,0.4036,IM
1,14.5334,4.693,0.0632,0.2683,0.0688,0.4344,0.4618,IM
3,11.4488,4.1292,0.0467,0.0732,0.0436,0.4038,0.2103,BCC
1,13.3809,4.496,0.069,0.2108,0.0202,0.4527,0.3464,BCC
1,14.6972,4.6164,0.037,0.2612,0.0817,0.3564,0.3565,FCC
1,12.9664,4.725,0.036,0.1974,0.055,0.376,0.4191,FCC
3,10.8186,4.8486,0.0478,0.2501,0.0624,0.4206,0.4725,IM
1,10.8339,4.5167,0.0938,0.2936,0.0688,0.4468,0.4888,IM
1,14.7842,4.7161,0.0466,0.3289,0.0671,0.4274,0.3567,BCC+FCC
3,13.1452,4.6333,0.0794,0.2423,0.0615,0.3352,0.2337,IM
3,13.3809,4.606,0.0598,0.3534,0.0633,0.3833,0.2346,IM
3,13.3507,4.6062,0.0583,0.3588,0.0646,0.3877,0.2385,IM
3,10.9812,4.2638,0.0314,0.1047,0.0201,0.4455,0.2666,IM
1,14.3353,4.6705,0.0486,0.2788,0.0707,0.383,0.3956,BCC+FCC
1,14.677,4.6743,0.0688,0.2757,0.0697,0.4418,0.469,IM
1,16.0243,4.4325,0.0682,0.2768,0.0269,0.5854,0.3828,IM
1,12.9458,4.68,0.0782,0.3162,0.0748,0.2894,0.2626,IM
1,14.4258,4.7144,0.0658,0.268,0.0707,0.4314,0.4501,BCC+FCC
4,13.3785,4.6724,0.0357,0.2047,0.0719,0.2609,0.3005,FCC
3,13.3321,4.41,0.0347,0.1356,0.0326,0.5776,0.3288,BCC
1,13.3809,4.65,0.0325,0.1768,0.0816,0.2962,0.3568,FCC
3,11.5257,4.825,0.0239,0.1177,0.0541,0.3077,0.304,FCC
1,13.1452,4.7367,0.0469,0.2483,0.0656,0.4148,0.4427,IM
3,12.3287,4.5575,0.038,0.2159,0.0742,0.2064,0.2117,BCC+FCC
3,13.3809,4.4,0.0431,0.0907,0.0329,0.5084,0.2594,BCC
1,14.6101,4.6804,0.06,0.2997,0.0705,0.4219,0.4184,IM
1,12.6321,4.5923,0.0479,0.4502,0.0734,0.5326,0.3545,BCC+FCC
3,13.2758,4.5725,0.0408,0.2238,0.074,0.2498,0.2449,BCC+FCC
1,11.5257,4.745,0.0566,0.2939,0.0716,0.4548,0.4052,FCC
1,14.2517,4.7204,0.0607,0.3073,0.074,0.4488,0.4363,IM
3,10.3298,4.2633,0.0433,0.101,0.0225,0.3287,0.236,IM
3,11.7645,4.79,0.0381,0.1941,0.0717,0.2383,0.2968,FCC
3,12.3001,4.149,0.0393,0.1132,0.0427,0.2831,0.1873,BCC
3,13.3112,4.2876,0.0319,0.1496,0.0386,0.6936,0.3797,IM
3,13.0106,4.725,0.0593,0.2397,0.0709,0.3604,0.3015,IM
3,11.3875,4.4074,0.0342,0.207,0.0305,0.3131,0.3099,BCC+FCC
1,14.5318,4.6329,0.085,0.3523,0.0735,0.4729,0.2927,IM
1,14.8759,4.6671,0.048,0.36,0.0655,0.4598,0.3688,BCC+FCC
3,7.5837,4.4524,0.0346,0.5692,0.0697,0.6404,0.3041,IM
2,12.37,4.8247,0.0477,0.2056,0.0669,0.3178,0.3761,IM
3,15.433,4.7067,0.0496,0.292,0.0646,0.4438,0.4278,FCC
3,11.5257,4.35,0.0476,0.0825,0.027,0.5803,0.2743,BCC
3,10.0849,4.4625,0.0201,0.1124,0.0592,0.2339,0.2818,IM
3,12.9664,4.2713,0.0517,0.2247,0.0382,0.8154,0.3776,IM
1,13.3809,4.392,0.0708,0.4195,0.0728,0.2847,0.2991,IM
1,14.3353,4.6324,0.035,0.2246,0.0817,0.3288,0.3569,FCC
3,11.4661,4.5844,0.0464,0.412,0.0709,0.4336,0.2617,IM
2,13.2116,4.7591,0.0533,0.2744,0.0683,0.4622,0.4753,IM
1,14.6972,4.6582,0.0564,0.3446,0.0702,0.5098,0.459,IM
1,14.3159,4.7575,0.0449,0.2042,0.0564,0.3669,0.3829,IM
3,14.2323,4.6169,0.0542,0.41,0.0703,0.5151,0.3468,IM
1,14.0489,4.5755,0.0561,0.3942,0.0683,0.4953,0.3221,BCC
3,9.1339,4.21,0.0434,0.1088,0.028,0.603,0.3427,IM
3,13.3671,4.7964,0.0406,0.2442,0.0656,0.4061,0.4336,IM
3,11.5257,4.35,0.0301,0.172,0.0381,0.2829,0.2799,BCC
3,14.8707,4.6328,0.0494,0.3518,0.0723,0.4424,0.3805,BCC
1,16.1783,4.5014,0.0508,0.3344,0.0516,0.5725,0.4299,BCC+FCC
1,14.7842,4.6,0.0549,0.4146,0.0718,0.5564,0.4298,IM
3,14.7374,4.7148,0.0561,0.2359,0.0612,0.3889,0.4144,IM
3,11.5257,4.7325,0.0524,0.3912,0.0751,0.5105,0.4315,IM
3,12.2615,4.3114,0.0425,0.1315,0.0342,0.6254,0.3178,BCC
1,12.0051,4.725,0.0451,0.2078,0.0595,0.3139,0.3703,IM
1,7.0475,4.2429,0.0158,0.1823,0.074,0.1909,0.2061,BCC+FCC
3,14.841,4.6249,0.0543,0.3922,0.0717,0.5308,0.4281,IM
3,13.2542,4.7554,0.0404,0.3236,0.0692,0.3809,0.2615,IM
1,13.3571,4.7442,0.0689,0.2078,0.0566,0.3283,0.3471,IM
1,14.8967,4.63,0.0741,0.3086,0.0705,0.4926,0.496,BCC+FCC
1,9.231,4.3144,0.0221,0.2211,0.0843,0.235,0.2497,BCC+FCC
3,10.8363,4.6815,0.0469,0.2535,0.0668,0.2851,0.2921,BCC+FCC
3,14.5334,4.646,0.0558,0.3517,0.0677,0.4249,0.3132,IM
3,12.4206,4.1925,0.0434,0.1019,0.0375,0.5081,0.2596,BCC
3,13.1452,4.2567,0.0352,0.175,0.0579,0.7875,0.3848,BCC
3,10.948,4.7334,0.0473,0.3452,0.0767,0.335,0.236,IM
3,13.2539,4.2691,0.0327,0.1824,0.0594,0.7921,0.4105,BCC
1,12.6945,4.8019,0.0276,0.2079,0.0604,0.3353,0.3017,FCC
1,13.6631,4.6849,0.0686,0.2425,0.0659,0.433,0.4913,IM
3,12.9105,4.7697,0.0436,0.3234,0.0731,0.3962,0.3431,BCC+FCC
1,13.1452,4.5511,0.0415,0.3599,0.0761,0.3739,0.2467,BCC+FCC
1,14.3353,4.6676,0.0517,0.3477,0.0714,0.4522,0.3919,IM
3,13.2539,4.2418,0.0311,0.1664,0.0546,0.7918,0.3842,BCC
3,12.4265,4.8186,0.0422,0.3239,0.0711,0.4415,0.3952,BCC+FCC
3,10.9232,4.229,0.0323,0.1113,0.0282,0.4736,0.248,BCC
3,13.2416,4.5696,0.0522,0.3924,0.0561,0.4411,0.2936,IM
3,14.5338,4.6634,0.0526,0.3214,0.0659,0.4263,0.3435,IM
4,9.371,4.4823,0.1008,0.3415,0.0655,0.3182,0.318,IM
1,11.0548,4.68,0.0409,0.3243,0.0729,0.3187,0.2188,BCC+FCC
1,9.3907,4.3592,0.0209,0.2115,0.0244,0.4477,0.3071,BCC
4,10.6184,4.6429,0.0345,0.1413,0.0504,0.2938,0.3144,IM
1,13.1452,4.5722,0.0379,0.2131,0.0779,0.2259,0.2296,FCC
3,11.0999,4.457,0.0311,0.2877,0.0857,0.253,0.183,IM
3,11.5257,4.3625,0.0425,0.0825,0.0318,0.4523,0.2385,BCC
3,13.1452,4.3178,0.032,0.1644,0.0426,0.7702,0.4081,BCC
1,14.8967,4.63,0.0582,0.3086,0.0705,0.4677,0.4595,IM
3,9.1339,4.75,0.029,0.1439,0.0976,0.2838,0.4133,FCC
3,15.7177,4.6138,0.057,0.3311,0.067,0.4063,0.3744,BCC
3,12.4817,4.2257,0.0471,0.1088,0.0351,0.3707,0.2248,BCC
2,14.362,4.6325,0.0359,0.1943,0.0815,0.3056,0.3629,IM
1,14.2323,4.7,0.0394,0.2087,0.0841,0.2855,0.3422,FCC
3,12.5108,4.275,0.0473,0.1782,0.0185,0.4135,0.2845,BCC
3,13.7779,4.249,0.048,0.1489,0.0242,0.4887,0.3006,IM
3,13.3507,4.7146,0.0696,0.2431,0.0684,0.3829,0.291,IM
1,13.3809,4.75,0.0654,0.2051,0.0573,0.331,0.3541,IM
3,13.3809,4.172,0.0546,0.1581,0.0404,0.256,0.2776,IM
1,14.1676,4.7137,0.0561,0.2593,0.0674,0.4255,0.4531,IM
1,12.2573,4.7045,0.0299,0.2229,0.063,0.3328,0.3493,FCC
1,12.4506,4.7522,0.0463,0.2724,0.0667,0.3165,0.2591,BCC+FCC
1,9.749,4.3343,0.0237,0.2305,0.0863,0.246,0.26,BCC+FCC
1,8.7655,4.2977,0.0207,0.2128,0.0824,0.2253,0.2405,BCC+FCC
3,13.9933,4.7454,0.0385,0.2524,0.0634,0.3821,0.3906,FCC
1,13.9362,4.7692,0.0507,0.2602,0.0714,0.3767,0.3974,IM
1,5.1951,4.1937,0.0108,0.1486,0.0627,0.1539,0.1677,BCC
3,13.3809,4.44,0.0604,0.1826,0.027,0.4037,0.368,IM
3,14.5334,4.321,0.0512,0.1695,0.0397,0.6938,0.5888,IM
1,13.8692,4.5736,0.0506,0.4552,0.0725,0.5617,0.3828,IM
3,12.5685,4.7633,0.0353,0.2282,0.064,0.3596,0.3934,IM
3,11.7412,4.2179,0.048,0.1033,0.0365,0.3862,0.237,BCC
3,13.3809,4.55,0.037,0.2098,0.0637,0.3679,0.3965,BCC+FCC
1,8.2671,4.425,0.0337,0.5556,0.0627,0.6153,0.2708,BCC+FCC
4,11.3163,4.823,0.03,0.1619,0.0585,0.3672,0.4429,FCC
3,14.865,4.576,0.0404,0.3381,0.0809,0.4195,0.3535,BCC
3,9.1339,4.1767,0.0428,0.1088,0.0469,0.2367,0.0939,BCC
1,14.8967,4.6717,0.0624,0.3299,0.065,0.4415,0.344,IM
1,14.8707,4.6938,0.0457,0.32,0.0635,0.4349,0.3762,BCC+FCC
3,11.2387,4.6614,0.0515,0.2774,0.0674,0.3389,0.3293,BCC
3,11.7487,4.4294,0.0495,0.1947,0.0232,0.3583,0.3152,BCC
1,14.0626,4.7573,0.0751,0.2954,0.0735,0.4806,0.5016,BCC+FCC
2,13.3448,4.6667,0.0457,0.3689,0.0717,0.4648,0.3753,BCC
3,11.8082,4.4515,0.0324,0.2823,0.0806,0.2727,0.213,IM
3,13.3809,4.356,0.0452,0.1789,0.0433,0.7032,0.5798,IM
3,13.1452,4.2744,0.0424,0.1861,0.019,0.3229,0.2665,IM
2,14.8967,4.5683,0.0636,0.4206,0.0628,0.5157,0.3724,IM
3,13.3321,4.3168,0.0351,0.16,0.0414,0.7511,0.3955,BCC
1,12.6758,4.7173,0.0539,0.2804,0.0679,0.4041,0.4197,BCC+FCC
3,11.3575,4.6522,0.0533,0.2875,0.0676,0.3617,0.3452,BCC
3,12.9664,4.145,0.0502,0.1019,0.043,0.3448,0.2096,BCC
3,16.1783,4.48,0.0512,0.3773,0.0601,0.5186,0.4436,IM
3,15.9953,4.6635,0.0509,0.3108,0.0652,0.4115,0.38,IM
3,15.9731,4.6471,0.0617,0.3569,0.0649,0.5136,0.446,IM
1,11.5257,4.5075,0.0874,0.3909,0.0825,0.4319,0.3163,IM
3,14.5111,4.7301,0.0497,0.2232,0.0597,0.3818,0.4071,IM
3,13.1452,4.5733,0.0492,0.3361,0.0545,0.5043,0.3989,IM
1,14.8967,4.5967,0.0776,0.3294,0.0581,0.4082,0.2136,BCC
1,14.7842,4.6492,0.0501,0.3849,0.0666,0.4757,0.3635,BCC+FCC
4,12.5685,4.7657,0.0384,0.2117,0.0633,0.3675,0.417,FCC
3,12.9664,4.1825,0.0397,0.1591,0.0552,0.8489,0.3726,BCC
1,12.5685,4.7786,0.041,0.1868,0.0603,0.3333,0.3869,IM
1,12.9758,4.705,0.0508,0.3461,0.0707,0.3778,0.2615,BCC+FCC
3,13.2539,4.2191,0.0331,0.172,0.0561,0.8443,0.407,BCC
3,12.724,4.337,0.0273,0.1719,0.0449,0.765,0.4226,BCC
1,12.2227,4.745,0.0491,0.2519,0.0661,0.3518,0.3874,BCC+FCC
3,10.4995,4.6795,0.0958,0.4309,0.0912,0.5859,0.4063,IM
4,11.3908,4.8107,0.0301,0.1625,0.0612,0.3163,0.3815,FCC
3,11.5257,4.1325,0.0402,0.1019,0.0408,0.5606,0.295,BCC
1,14.8548,4.6357,0.0622,0.3515,0.0723,0.4626,0.4114,IM
2,12.2283,4.35,0.0361,0.1992,0.0177,0.7085,0.578,IM
1,11.3575,4.7828,0.0506,0.3387,0.0709,0.471,0.4444,BCC+FCC
1,11.3812,4.3489,0.0532,0.2558,0.0311,0.5871,0.2131,IM
1,14.3159,4.7525,0.0601,0.2096,0.057,0.3478,0.364,IM
3,12.6016,4.2291,0.0465,0.1102,0.0344,0.3633,0.2194,BCC
3,12.5061,4.4777,0.0305,0.2466,0.0699,0.2579,0.2028,IM
1,12.8253,4.5477,0.0809,0.3602,0.075,0.5233,0.4991,IM
3,13.2539,4.3564,0.0386,0.2226,0.0205,0.6299,0.505,IM
3,12.1979,4.2963,0.0373,0.1932,0.01,0.2961,0.2428,IM
1,12.9758,4.6883,0.0767,0.3457,0.072,0.4221,0.2175,IM
1,14.6437,4.6329,0.0517,0.4066,0.0673,0.4897,0.3583,BCC+FCC
2,11.5257,4.4275,0.039,0.2735,0.0291,0.641,0.4279,BCC
1,11.5257,4.32,0.0257,0.1746,0.0451,0.8133,0.4374,BCC
3,12.5685,4.731,0.0521,0.2372,0.0722,0.3369,0.307,IM
3,12.9757,4.3133,0.042,0.1422,0.0369,0.673,0.3463,BCC
4,9.9232,4.39,0.0194,0.1075,0.0632,0.2102,0.2555,FCC
3,11.5257,4.125,0.0245,0.1111,0.0388,0.4667,0.2667,BCC
3,10.5591,4.4238,0.0272,0.2497,0.0814,0.2157,0.1731,IM
3,9.1339,4.5833,0.0281,0.1497,0.0944,0.0268,0.1475,FCC
