Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,,Pm.2,ΔS,ad-e/n.1,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,,Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,,Pm.4,ΔS.1,EWF.1,ad-e/n.3,δ-VEC,δ-EWF.1,δ-G.2,δ-G/B,,Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
1,7.1395,14.555,0.0432,0.1684,0.1042,BCC+FCC,1,13.1708,0.0432,76.75,26.632,0.0645,0.0553,0.7034,0.4871,BCC+FCC,1,1.9,4.6035,0.0432,0.1684,0.3221,0.1042,0.4871,0.1945,BCC+FCC,1,13.1708,4.6035,0.0432,0.3534,0.0553,0.4871,0.4132,BCC+FCC,1,4.7087,1.9,4.6035,60.585,0.0432,26.632,0.1684,0.3221,BCC+FCC
1,7.2455,15.045,0.0483,0.1816,0.1092,BCC+FCC,1,13.1708,0.0483,79.7,24.501,0.0668,0.0547,0.7841,0.5049,BCC+FCC,1,1.8,4.6185,0.0483,0.1816,0.325,0.1092,0.5049,0.1887,BCC+FCC,1,13.1708,4.6185,0.0483,0.3676,0.0547,0.5049,0.4252,BCC+FCC,1,7.5515,1.8,4.6185,57.165,0.0483,24.501,0.1816,0.325,BCC+FCC
1,6.9385,15.535,0.0519,0.1916,0.1103,BCC+FCC,1,13.1708,0.0519,74.205,24.837,0.0697,0.0539,0.8417,0.5174,BCC+FCC,1,1.85,4.5825,0.0519,0.1916,0.3634,0.1103,0.5174,0.1834,BCC+FCC,1,13.1708,4.5825,0.0519,0.4041,0.0539,0.5174,0.4018,BCC+FCC,1,5.2177,1.85,4.5825,56.605,0.0519,24.837,0.1916,0.3634,BCC+FCC
1,6.8805,15.145,0.0472,0.178,0.1088,BCC+FCC,1,13.1708,0.0472,80.3,26.371,0.0679,0.0574,0.7686,0.515,BCC+FCC,1,1.95,4.5925,0.0472,0.178,0.3613,0.1088,0.515,0.1917,BCC+FCC,1,13.1708,4.5925,0.0472,0.3888,0.0574,0.515,0.4169,BCC+FCC,1,3.3464,1.95,4.5925,57.97,0.0472,26.371,0.178,0.3613,BCC+FCC
1,6.55,15.525,0.0426,0.1613,0.1085,BCC+FCC,1,12.047,0.0426,79.825,26.1,0.0666,0.0595,0.734,0.5001,BCC+FCC,1,2.15,4.5665,0.0426,0.1613,0.3927,0.1085,0.5001,0.1766,BCC+FCC,1,12.047,4.5665,0.0426,0.3923,0.0595,0.5001,0.3829,BCC+FCC,1,1.8929,2.15,4.5665,57.125,0.0426,26.1,0.1613,0.3927,BCC+FCC
1,7.5495,13.605,0.0566,0.1877,0.1046,BCC+FCC,1,11.9058,0.0566,27.76,25.79,0.0724,0.0716,0.676,0.3993,BCC+FCC,1,1.75,4.7745,0.0566,0.1877,0.2864,0.1046,0.3993,0.1872,BCC+FCC,1,11.9058,4.7745,0.0566,0.3458,0.0716,0.3993,0.3212,BCC+FCC,1,2.6512,1.75,4.7745,75.4,0.0566,25.79,0.1877,0.2864,BCC+FCC
1,7.5375,13.51,0.0528,0.1801,0.099,BCC+FCC,1,12.8408,0.0528,61.26,29.3175,0.0709,0.0693,0.8017,0.452,BCC+FCC,1,1.8,4.777,0.0528,0.1801,0.2858,0.099,0.452,0.2177,BCC+FCC,1,12.8408,4.777,0.0528,0.3377,0.0693,0.452,0.4078,BCC+FCC,1,2.6081,1.8,4.777,70.775,0.0528,29.3175,0.1801,0.2858,BCC+FCC
1,7.7135,15.095,0.0501,0.178,0.113,BCC+FCC,1,12.5825,0.0501,75,22.725,0.066,0.0585,0.8651,0.4947,BCC+FCC,1,1.65,4.7095,0.0501,0.178,0.284,0.113,0.4947,0.1819,BCC+FCC,1,12.5825,4.7095,0.0501,0.3336,0.0585,0.4947,0.4312,BCC+FCC,1,10.185,1.65,4.7095,56.53,0.0501,22.725,0.178,0.284,BCC+FCC
1,7.783,14.845,0.0414,0.1574,0.1061,BCC+FCC,1,12.3696,0.0414,96.04,22.745,0.0628,0.0633,0.7518,0.477,BCC+FCC,1,1.9,4.8195,0.0414,0.1574,0.2819,0.1061,0.477,0.1736,BCC+FCC,1,12.3696,4.8195,0.0414,0.3098,0.0633,0.477,0.4515,BCC+FCC,1,3.1166,1.9,4.8195,55.725,0.0414,22.745,0.1574,0.2819,BCC+FCC
1,7.7,14.83,0.0466,0.1706,0.1103,BCC+FCC,1,11.9058,0.0466,96.24,21.19,0.0649,0.0589,0.7566,0.5164,BCC+FCC,1,1.75,4.737,0.0466,0.1706,0.2835,0.1103,0.5164,0.1891,BCC+FCC,1,11.9058,4.737,0.0466,0.3263,0.0589,0.5164,0.4944,BCC+FCC,1,5.6916,1.75,4.737,53.7,0.0466,21.19,0.1706,0.2835,BCC+FCC
1,7.3225,15.035,0.0585,0.1971,0.1124,BCC+FCC,1,13.0871,0.0585,53.31,27.731,0.0724,0.0632,0.8976,0.5062,BCC+FCC,1,1.7,4.6735,0.0585,0.1971,0.3285,0.1124,0.5062,0.1929,BCC+FCC,1,13.0871,4.6735,0.0585,0.3825,0.0632,0.5062,0.3994,BCC+FCC,1,4.6861,1.7,4.6735,61.47,0.0585,27.731,0.1971,0.3285,BCC+FCC
1,7.0885,15.25,0.0551,0.1887,0.1136,BCC+FCC,1,12.8408,0.0551,64.26,28.2495,0.0745,0.0747,0.91,0.4905,BCC+FCC,1,2,4.755,0.0551,0.1887,0.367,0.1136,0.4905,0.1826,BCC+FCC,1,12.8408,4.755,0.0551,0.3962,0.0747,0.4905,0.3831,BCC+FCC,1,1.7024,2,4.755,62.245,0.0551,28.2495,0.1887,0.367,BCC+FCC
1,7.813,15.985,0.0516,0.1766,0.1327,BCC+FCC,1,12.3696,0.0516,138.78,22.473,0.081,0.0625,1.0183,0.4592,BCC+FCC,1,1.55,4.578,0.0516,0.1766,0.2363,0.1327,0.4592,0.2097,BCC+FCC,1,12.3696,4.578,0.0516,0.3097,0.0625,0.4592,0.4344,BCC+FCC,1,24.4728,1.55,4.578,58.795,0.0516,22.473,0.1766,0.2363,BCC+FCC
1,7.458,14.345,0.051,0.1803,0.1183,BCC+FCC,1,12.2237,0.051,108.46,28.747,0.0734,0.0624,0.8387,0.54,BCC+FCC,1,1.7,4.652,0.051,0.1803,0.2851,0.1183,0.54,0.238,BCC+FCC,1,12.2237,4.652,0.051,0.3416,0.0624,0.54,0.5125,BCC+FCC,1,5.3347,1.7,4.652,60.505,0.051,28.747,0.1803,0.2851,BCC+FCC
3,8.1835,13.16,0.0261,0.1045,0.0528,FCC,3,11.4995,0.0261,67.02,20.9405,0.0424,0.063,0.5502,0.3367,FCC,3,2,4.834,0.0261,0.1045,0.167,0.0528,0.3367,0.1698,FCC,3,11.4995,4.834,0.0261,0.1903,0.063,0.3367,0.3596,FCC,3,4.4115,2,4.834,68.715,0.0261,20.9405,0.1045,0.167,FCC
3,7.88,13.625,0.0318,0.1253,0.0711,FCC,3,11.8937,0.0318,66.85,20.177,0.0515,0.0688,0.6227,0.331,FCC,3,2.05,4.8055,0.0318,0.1253,0.2292,0.0711,0.331,0.1549,FCC,3,11.8937,4.8055,0.0318,0.2472,0.0688,0.331,0.3049,FCC,3,2.794,2.05,4.8055,70.295,0.0318,20.177,0.1253,0.2292,FCC
3,7.787,13.32,0.031,0.128,0.0706,FCC,3,12.5108,0.031,68.52,23.984,0.054,0.0657,0.5702,0.3904,FCC,3,2,4.758,0.031,0.128,0.2301,0.0706,0.3904,0.188,FCC,3,12.5108,4.758,0.031,0.25,0.0657,0.3904,0.3912,FCC,3,3.0193,2,4.758,67.58,0.031,23.984,0.128,0.2301,FCC
1,6.6655,15.405,0.0495,0.1807,0.1104,BCC+FCC,1,11.8937,0.0495,48.07,25.795,0.0734,0.0799,0.7845,0.4241,BCC+FCC,1,2.2,4.6865,0.0495,0.1807,0.3981,0.1104,0.4241,0.1359,BCC+FCC,1,11.8937,4.6865,0.0495,0.4123,0.0799,0.4241,0.2508,BCC+FCC,1,1.2393,2.2,4.6865,67.65,0.0495,25.795,0.1807,0.3981,BCC+FCC
1,6.662,15.43,0.0485,0.1778,0.11,BCC+FCC,1,12.5108,0.0485,57.96,26.808,0.0727,0.0783,0.8205,0.4434,BCC+FCC,1,2.2,4.679,0.0485,0.1778,0.3978,0.11,0.4434,0.1504,BCC+FCC,1,12.5108,4.679,0.0485,0.4091,0.0783,0.4434,0.2863,BCC+FCC,1,1.3307,2.2,4.679,65.51,0.0485,26.808,0.1778,0.3978,BCC+FCC
1,6.6105,15.355,0.0465,0.1732,0.1088,BCC+FCC,1,12.5945,0.0465,60.815,26.74,0.0712,0.0757,0.7936,0.4432,BCC+FCC,1,2.2,4.6465,0.0465,0.1732,0.3957,0.1088,0.4432,0.1514,BCC+FCC,1,12.5945,4.6465,0.0465,0.4045,0.0757,0.4432,0.2862,BCC+FCC,1,1.4103,2.2,4.6465,65.425,0.0465,26.74,0.1732,0.3957,BCC+FCC
1,6.7925,15.91,0.0477,0.1744,0.1117,BCC+FCC,1,12.2933,0.0477,75.08,26.07,0.0723,0.0788,0.8577,0.4555,BCC+FCC,1,2.25,4.729,0.0477,0.1744,0.4003,0.1117,0.4555,0.1463,BCC+FCC,1,12.2933,4.729,0.0477,0.404,0.0788,0.4555,0.3131,BCC+FCC,1,1.2573,2.25,4.729,59.75,0.0477,26.07,0.1744,0.4003,BCC+FCC
1,6.6,15.43,0.0437,0.1619,0.1074,BCC+FCC,1,12.5945,0.0437,80.75,27.1855,0.0688,0.0697,0.7566,0.493,BCC+FCC,1,2.2,4.624,0.0437,0.1619,0.395,0.1074,0.493,0.1765,BCC+FCC,1,12.5945,4.624,0.0437,0.3916,0.0697,0.493,0.3769,BCC+FCC,1,1.5153,2.2,4.624,59.005,0.0437,27.1855,0.1619,0.395,BCC+FCC
1,7.6705,13.07,0.0509,0.1806,0.11,BCC+FCC,1,12.1233,0.0509,83.12,23.3295,0.0691,0.072,0.609,0.4479,BCC+FCC,1,2,4.8105,0.0509,0.1806,0.2537,0.11,0.4479,0.176,BCC+FCC,1,12.1233,4.8105,0.0509,0.305,0.072,0.4479,0.4557,BCC+FCC,1,1.6011,2,4.8105,58.815,0.0509,23.3295,0.1806,0.2537,BCC+FCC
1,7.4205,13.43,0.0531,0.1846,0.114,BCC+FCC,1,12.6521,0.0531,79.8,27.0075,0.0722,0.0746,0.715,0.4613,BCC+FCC,1,2,4.792,0.0531,0.1846,0.2949,0.114,0.4613,0.1945,BCC+FCC,1,12.6521,4.792,0.0531,0.3389,0.0746,0.4613,0.4345,BCC+FCC,1,1.5227,2,4.792,63.625,0.0531,27.0075,0.1846,0.2949,BCC+FCC
4,8.1845,14.14,0.0305,0.1124,0.0983,FCC,4,11.9058,0.0305,62.855,19.2925,0.0353,0.056,0.5986,0.3071,FCC,4,1.8,4.699,0.0305,0.1124,0.1652,0.0983,0.3071,0.1241,FCC,4,11.9058,4.699,0.0305,0.2044,0.056,0.3071,0.2587,FCC,4,5.1835,1.8,4.699,64.425,0.0305,19.2925,0.1124,0.1652,FCC
4,7.868,13.975,0.0299,0.1188,0.0807,FCC,4,11.5758,0.0299,62.305,18.653,0.0461,0.0681,0.5975,0.3001,FCC,4,2.05,4.7555,0.0299,0.1188,0.2272,0.0807,0.3001,0.1246,FCC,4,11.5758,4.7555,0.0299,0.2422,0.0681,0.3001,0.2414,FCC,4,4.0287,2.05,4.7555,68.905,0.0299,18.653,0.1188,0.2272,FCC
4,7.874,14.655,0.0344,0.1318,0.1039,FCC,4,12.1233,0.0344,65.605,20.115,0.0453,0.0552,0.6341,0.3354,FCC,4,1.85,4.6555,0.0344,0.1318,0.2275,0.1039,0.3354,0.1227,FCC,4,12.1233,4.6555,0.0344,0.2584,0.0552,0.3354,0.2599,FCC,4,10.7414,1.85,4.6555,61.725,0.0344,20.115,0.1318,0.2275,FCC
4,7.657,14.665,0.0339,0.135,0.0926,FCC,4,12.2933,0.0339,71.35,21.738,0.0543,0.0703,0.6786,0.3514,FCC,4,2.1,4.7695,0.0339,0.135,0.2781,0.0926,0.3514,0.1304,FCC,4,12.2933,4.7695,0.0339,0.2876,0.0703,0.3514,0.2714,FCC,4,2.7091,2.1,4.7695,64.235,0.0339,21.738,0.135,0.2781,FCC
1,7.3565,15.47,0.041,0.1579,0.1107,BCC+FCC,1,12.8408,0.041,62.96,22.0525,0.0606,0.0698,0.7436,0.3667,BCC+FCC,1,2.05,4.691,0.041,0.1579,0.3222,0.1107,0.3667,0.1075,BCC+FCC,1,12.8408,4.691,0.041,0.339,0.0698,0.3667,0.2177,BCC+FCC,1,3.1972,2.05,4.691,62.225,0.041,22.0525,0.1579,0.3222,BCC+FCC
4,8.094,14.065,0.0364,0.1524,0.1303,FCC,4,11.7645,0.0364,75.56,12.306,0.0505,0.056,0.5495,0.3167,FCC,4,1.8,4.7065,0.0364,0.1524,0.1855,0.1303,0.3167,0.1204,FCC,4,11.7645,4.7065,0.0364,0.245,0.056,0.3167,0.3454,FCC,4,79.2148,1.8,4.7065,50.735,0.0364,12.306,0.1524,0.1855,FCC
1,7.204,15.395,0.0556,0.2056,0.1137,BCC+FCC,1,11.8937,0.0556,93.415,20.139,0.0792,0.0742,0.8326,0.4599,BCC+FCC,1,2.15,4.8165,0.0556,0.2056,0.3606,0.1137,0.4599,0.1244,BCC+FCC,1,11.8937,4.8165,0.0556,0.3789,0.0742,0.4599,0.3474,BCC+FCC,1,0.9726,2.15,4.8165,49.635,0.0556,20.139,0.2056,0.3606,BCC+FCC
1,6.7695,15.245,0.0447,0.1792,0.1085,BCC+FCC,1,11.9774,0.0447,64.88,24.454,0.0712,0.0751,0.7295,0.4079,BCC+FCC,1,2.25,4.649,0.0447,0.1792,0.3738,0.1085,0.4079,0.1214,BCC+FCC,1,11.9774,4.649,0.0447,0.3812,0.0751,0.4079,0.2416,BCC+FCC,1,1.1928,2.25,4.649,61.83,0.0447,24.454,0.1792,0.3738,BCC+FCC
1,6.7075,15.245,0.041,0.164,0.1067,BCC+FCC,1,11.3007,0.041,73.275,23.7275,0.0676,0.0647,0.6583,0.4392,BCC+FCC,1,2.25,4.594,0.041,0.164,0.3709,0.1067,0.4392,0.1434,BCC+FCC,1,11.3007,4.594,0.041,0.3635,0.0647,0.4392,0.3273,BCC+FCC,1,1.2652,2.25,4.594,55.325,0.041,23.7275,0.164,0.3709,BCC+FCC
1,6.91,15.57,0.0463,0.1794,0.1094,BCC+FCC,1,12.482,0.0463,86.15,23.06,0.0725,0.0753,0.7549,0.4491,BCC+FCC,1,2.25,4.7165,0.0463,0.1794,0.3781,0.1094,0.4491,0.137,BCC+FCC,1,12.482,4.7165,0.0463,0.3799,0.0753,0.4491,0.3363,BCC+FCC,1,1.1741,2.25,4.7165,53.525,0.0463,23.06,0.1794,0.3781,BCC+FCC
3,8.157,13.015,0.0331,0.1693,0.1666,FCC,3,11.217,0.0331,59.38,18.303,0.0466,0.0682,0.5356,0.2909,FCC,3,2,4.774,0.0331,0.1693,0.1641,0.1666,0.2909,0.1419,FCC,3,11.217,4.774,0.0331,0.2041,0.0682,0.2909,0.2874,FCC,3,2.6325,2,4.774,69.155,0.0331,18.303,0.1693,0.1641,FCC
3,8.253,13.215,0.0338,0.1687,0.1658,FCC,3,11.4995,0.0338,67.62,20.766,0.0468,0.0659,0.5547,0.328,FCC,3,2,4.824,0.0338,0.1687,0.1635,0.1658,0.328,0.1493,FCC,3,11.4995,4.824,0.0338,0.2021,0.0659,0.328,0.3369,FCC,3,2.6373,2,4.824,65.045,0.0338,20.766,0.1687,0.1635,FCC
1,7.5575,12.955,0.0452,0.1761,0.0965,BCC+FCC,1,12.5945,0.0452,38.2,23.808,0.0622,0.0469,0.5209,0.3737,BCC+FCC,1,1.6,4.5805,0.0452,0.1761,0.2324,0.0965,0.3737,0.1763,BCC+FCC,1,12.5945,4.5805,0.0452,0.3119,0.0469,0.3737,0.2894,BCC+FCC,1,9.3146,1.6,4.5805,76.14,0.0452,23.808,0.1761,0.2324,BCC+FCC
1,7.536,13.785,0.0528,0.1807,0.1043,BCC+FCC,1,12.3696,0.0528,24.75,22.533,0.0695,0.0721,0.5126,0.3666,BCC+FCC,1,1.8,4.7495,0.0528,0.1807,0.2844,0.1043,0.3666,0.1562,BCC+FCC,1,12.3696,4.7495,0.0528,0.3379,0.0721,0.3666,0.2691,BCC+FCC,1,3.0436,1.8,4.7495,75.805,0.0528,22.533,0.1807,0.2844,BCC+FCC
1,7.3815,13.56,0.0462,0.176,0.1004,BCC+FCC,1,13.1708,0.0462,37.65,22.38,0.0661,0.0656,0.5579,0.367,BCC+FCC,1,1.8,4.652,0.0462,0.176,0.2811,0.1004,0.367,0.1568,BCC+FCC,1,13.1708,4.652,0.0462,0.3358,0.0656,0.367,0.2645,BCC+FCC,1,4.8993,1.8,4.652,75.55,0.0462,22.38,0.176,0.2811,BCC+FCC
1,7.4345,13.805,0.0501,0.181,0.1044,BCC+FCC,1,13.2758,0.0501,34.8,24.008,0.0671,0.0651,0.5634,0.384,BCC+FCC,1,1.75,4.6595,0.0501,0.181,0.2825,0.1044,0.384,0.1602,BCC+FCC,1,13.2758,4.6595,0.0501,0.341,0.0651,0.384,0.2767,BCC+FCC,1,6.3249,1.75,4.6595,73.84,0.0501,24.008,0.181,0.2825,BCC+FCC
1,7.3705,15.58,0.0597,0.1966,0.1116,BCC+FCC,1,12.0108,0.0597,22.4,25.66,0.0714,0.0616,0.5495,0.4581,BCC+FCC,1,1.65,4.646,0.0597,0.1966,0.3279,0.1116,0.4581,0.1493,BCC+FCC,1,12.0108,4.646,0.0597,0.3793,0.0616,0.4581,0.2999,BCC+FCC,1,6.1546,1.65,4.646,62.65,0.0597,25.66,0.1966,0.3279,BCC+FCC
1,7.227,14.47,0.0561,0.1936,0.1109,BCC+FCC,1,12.9458,0.0561,26.7,26.448,0.0723,0.0703,0.5697,0.4197,BCC+FCC,1,1.8,4.681,0.0561,0.1936,0.3268,0.1109,0.4197,0.1611,BCC+FCC,1,12.9458,4.681,0.0561,0.3795,0.0703,0.4197,0.2858,BCC+FCC,1,3.1941,1.8,4.681,71.31,0.0561,26.448,0.1936,0.3268,BCC+FCC
1,7.138,13.775,0.0548,0.1915,0.1044,BCC+FCC,1,12.4412,0.0548,27.225,24.739,0.0733,0.0739,0.5464,0.3949,BCC+FCC,1,1.85,4.6985,0.0548,0.1915,0.3261,0.1044,0.3949,0.1693,BCC+FCC,1,12.4412,4.6985,0.0548,0.3783,0.0739,0.3949,0.278,BCC+FCC,1,2.1722,1.85,4.6985,76.465,0.0548,24.739,0.1915,0.3261,BCC+FCC
1,6.6905,14.55,0.0431,0.1708,0.104,BCC+FCC,1,12.1233,0.0431,49.375,25.0275,0.0653,0.0523,0.624,0.4121,BCC+FCC,1,2,4.525,0.0431,0.1708,0.3532,0.104,0.4121,0.1423,BCC+FCC,1,12.1233,4.525,0.0431,0.382,0.0523,0.4121,0.2465,BCC+FCC,1,3.0216,2,4.525,70.125,0.0431,25.0275,0.1708,0.3532,BCC+FCC
1,7.487,13.545,0.0454,0.1791,0.1087,BCC+FCC,1,12.047,0.0454,63.7,25.048,0.0671,0.0311,0.925,0.3917,BCC+FCC,1,1.55,4.503,0.0454,0.1791,0.2311,0.1087,0.3917,0.1856,BCC+FCC,1,12.047,4.503,0.0454,0.3179,0.0311,0.3917,0.3004,BCC+FCC,1,4.1509,1.55,4.503,74.085,0.0454,25.048,0.1791,0.2311,BCC+FCC
1,7.5585,13.63,0.0519,0.1785,0.1393,BCC+FCC,1,11.5758,0.0519,110.4,17.931,0.0843,0.0866,1.182,0.3018,BCC+FCC,1,1.75,4.6855,0.0519,0.1785,0.2377,0.1393,0.3018,0.1804,BCC+FCC,1,11.5758,4.6855,0.0519,0.313,0.0866,0.3018,0.2534,BCC+FCC,1,2.1811,1.75,4.6855,84.615,0.0519,17.931,0.1785,0.2377,BCC+FCC
1,7.164,13.33,0.0448,0.1688,0.1237,BCC+FCC,1,12.6521,0.0448,84.375,18.471,0.0769,0.0795,1.0881,0.3237,BCC+FCC,1,1.85,4.622,0.0448,0.1688,0.2788,0.1237,0.3237,0.1734,BCC+FCC,1,12.6521,4.622,0.0448,0.3288,0.0795,0.3237,0.2447,BCC+FCC,1,1.9961,1.85,4.622,83.715,0.0448,18.471,0.1688,0.2788,BCC+FCC
