Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Phase,Pm,ΔH,ΔS,Ω,δ-r,VEC,n,e/n,Tm,ρ,r,χ,m,e/a,Ec,EWF,ABE,SHA,SLHF,α,HD,YM,B,G,υ,G/B,ad-VEC,ad-n,ad-e/n,ad-Tm,ad-ρ,ad-r,ad-χ,ad-m,ad-e/a,ad-Ec,ad-EWF,ad-ABE,ad-SHA,ad-SLHF,ad-α,ad-HD,ad-YM,ad-B,ad-G,ad-υ,ad-G/B,δ-VEC,δ-n,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-m,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SHA,δ-SLHF,δ-α,δ-HD,δ-YM,δ-B,δ-G,δ-υ,δ-G/B
3.217223029,24.18964683,16.13449444,0,16.13449444,24.18964683,0,16.13449444,0,0,0,0,0,0,0,IM,2,-15.7442,13.9688,1.6261,0.0644,7.5968,25.3394,0.2937,1832.785,7.538,128.7655,1.7801,54.4441,1.8708,4.3796,4.7437,57.6846,7.3824,2.2164,11.8646,125.8091,198.9627,166.7136,66.2208,0.3285,0.3966,1.9717,2.3038,0.0543,146.9627,1.404,6.5366,0.1272,4.6794,0.281,0.186,0.3206,6.8254,1.1136,0.3997,2.3859,69.3402,35.0693,24.4183,28.7241,0.0625,0.1603,0.2966,0.1212,0.2109,0.1234,0.2353,0.0784,0.1187,0.2248,0.0655,0.0698,0.1465,0.2104,0.2112,0.2853,0.626,0.2625,0.1904,0.4742,0.216,0.4688
3.5,26.31578947,17.55263158,0,17.55263158,26.31578947,0,8.763157895,0,0,0,0,0,0,0,FCC,2,-11.5661,13.6693,2.1548,0.0533,7.9129,25.6329,0.3036,1823.2734,7.8051,127.2375,1.8013,55.0222,1.8595,4.3383,4.78,58.8698,7.5716,2.267,12.0109,131.5934,206.2547,171.1799,69.9933,0.3217,0.4139,1.7012,2.0942,0.0453,145.8629,1.1525,4.4299,0.1088,4.2792,0.3017,0.1705,0.3105,5.8213,0.9791,0.3904,2.4313,70.3599,28.6481,21.8633,26.6146,0.0596,0.1532,0.2617,0.1183,0.1798,0.1281,0.2042,0.0695,0.1168,0.2349,0.0603,0.0671,0.1319,0.195,0.2005,0.2908,0.6048,0.233,0.1703,0.4278,0.2177,0.445
0,24.99375156,16.67083229,0,16.67083229,24.99375156,0,16.67083229,0,0,0,0,0,0,0,IM,2,-14.4701,13.2117,1.7007,0.0623,7.7496,25.7496,0.2958,1862.6953,7.6989,128.2867,1.7858,55.357,1.8333,4.4125,4.7591,58.4819,7.5683,2.2542,11.4745,129.4926,203.2497,169.6194,67.4514,0.3282,0.3975,1.8335,1.8335,0.0533,131.9027,1.2362,5.9559,0.1239,3.6179,0.2778,0.1596,0.3158,5.9894,0.9338,0.3815,2.1835,68.5758,30.7149,22.325,28.2431,0.0643,0.1646,0.2744,0.0826,0.2092,0.0849,0.2032,0.0774,0.075,0.2033,0.0514,0.0683,0.1257,0.1573,0.1893,0.2324,0.5975,0.2332,0.1645,0.4622,0.2197,0.4753
42.88164666,14.27958834,14.27958834,0,14.27958834,14.27958834,0,0,0,0,0,0,0,0,0,BCC,3,-15.2812,12.2615,1.1789,0.069,5.9987,20.5682,0.2772,1469.1985,5.8444,132.6088,1.7299,43.7661,2.286,3.9112,4.5699,49.0506,5.4242,1.8354,16.5602,86.1123,158.3907,135.3759,58.159,0.3167,0.4243,2.5718,6.4907,0.0476,459.8615,2.6967,9.0576,0.1228,14.3946,0.6123,0.447,0.2885,13.1651,3.1168,0.6478,6.0376,67.0178,75.8067,48.0926,29.908,0.0417,0.1106,0.4715,0.3234,0.1812,0.3296,0.4752,0.0734,0.3358,0.3061,0.1182,0.0732,0.2784,0.5871,0.3863,0.3933,0.9572,0.5065,0.3694,0.5506,0.1736,0.3468
0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,FCC,3,4.5283,13.381,5.894,0.0357,8.2,29.8,0.2874,1994.6,8.63,127.536,1.892,65.206,1.4,4.626,4.68,59.26,7.584,2.512,10.62,117,229.8,182.6,90.04,0.2896,0.494,1.84,4.88,0.0728,434.72,0.876,3.5952,0.1176,12.2976,0.48,0.8776,0.188,6.632,1.5552,0.3696,3.976,58.4,59.36,33.64,23.248,0.0318,0.0904,0.2487,0.2127,0.2952,0.2612,0.1201,0.0852,0.2427,0.3499,0.2471,0.0517,0.1314,0.2502,0.1615,0.4116,0.5641,0.2981,0.24,0.3012,0.1528,0.2517
20,10,20,0,20,20,10,0,0,0,0,0,0,0,0,IM,3,-11.021,14.5336,2.3695,0.0592,6.9,25.1,0.2767,1796.8,7.243,129.494,1.806,54.1915,1.9,4.363,4.646,55.83,7.009,2.241,12.87,112.3,205.8,164.38,78.09,0.2983,0.473,2.1,5.28,0.0558,378.8,1.8384,6.8236,0.1368,11.762,0.54,0.5276,0.2724,9.264,2.0876,0.547,4.65,66.76,56.64,36.064,27.094,0.0387,0.1056,0.3517,0.3093,0.2331,0.3051,0.3357,0.0915,0.3353,0.3684,0.2062,0.0677,0.2144,0.3828,0.2963,0.481,0.6949,0.3854,0.3143,0.4249,0.1837,0.3132
16.67083229,24.99375156,16.67083229,0,16.67083229,16.67083229,8.32291927,0,0,0,0,0,0,0,0,IM,3,-10.3848,14.5339,2.5078,0.0558,7.2499,25.4144,0.2862,1791.865,7.5087,128.7612,1.8183,54.9761,1.9168,4.3672,4.705,57.1392,7.1538,2.1924,13.0259,135.7236,206.3177,170.2345,71.8058,0.3161,0.4275,2.0418,4.6107,0.0544,319.5831,1.7095,6.0524,0.1222,10.3273,0.4583,0.444,0.2959,8.595,1.7884,0.4962,4.0039,79.0767,47.557,35.1433,29.9044,0.0511,0.1329,0.3241,0.2802,0.2185,0.2793,0.3061,0.0843,0.3034,0.3339,0.188,0.0671,0.198,0.3454,0.2809,0.4346,0.6517,0.351,0.2876,0.4649,0.2022,0.3958
15.38461538,30.76923077,15.38461538,0,15.38461538,15.38461538,7.692307692,0,0,0,0,0,0,0,0,IM,3,-10.0104,14.2324,2.5452,0.0543,7.3846,25.5385,0.2898,1790.1538,7.6115,128.48,1.8231,55.2857,1.9231,4.3692,4.7277,57.6462,7.21,2.1738,13.0846,144.7692,206.5385,172.5077,69.3923,0.3229,0.41,1.9882,4.3314,0.053,296.497,1.6409,5.7169,0.1157,9.721,0.426,0.4116,0.2975,8.2438,1.6677,0.4743,3.742,81.3254,44.0237,34.5302,30.2083,0.0545,0.1415,0.3122,0.2685,0.2118,0.2687,0.2938,0.0813,0.2906,0.32,0.1806,0.0663,0.191,0.3304,0.2738,0.416,0.6254,0.3369,0.2764,0.4777,0.2038,0.4232
19.60784314,19.60784314,19.60784314,0,11.76470588,19.60784314,9.803921569,0,0,0,0,0,0,0,0,IM,3,-11.5673,14.6102,2.2645,0.0584,7.0196,25.2157,0.2799,1792.8627,7.3496,129.4847,1.8114,54.5267,1.902,4.3722,4.6922,56.3765,6.95,2.2173,13.0451,123.1373,205.7059,167.651,74.1275,0.3094,0.4449,2.1761,5.2672,0.0578,372.3875,1.886,6.6953,0.1383,11.7942,0.5306,0.5136,0.3003,9.511,2.0235,0.5596,4.5352,78.2007,55.4556,38.1461,30.8451,0.0479,0.1254,0.3518,0.3056,0.2345,0.3028,0.3334,0.0911,0.331,0.3645,0.2037,0.0692,0.214,0.377,0.299,0.4696,0.7118,0.3817,0.3115,0.4677,0.2026,0.3761
16.67083229,16.67083229,16.67083229,0,24.99375156,16.67083229,8.32291927,0,0,0,0,0,0,0,0,IM,3,-9.8469,14.5339,2.6501,0.0562,7.1667,25.3312,0.284,1795.4439,7.4288,128.6796,1.8141,54.7191,1.9168,4.358,4.6634,56.7231,7.2346,2.2116,12.8594,127.151,206.4841,167.4963,75.2265,0.3065,0.4517,1.9725,4.5552,0.0526,319.1903,1.6563,6.0932,0.1194,10.156,0.4583,0.4478,0.2745,8.3175,1.8153,0.4803,4.0416,70.5019,47.668,32.5369,26.9577,0.0427,0.1117,0.3214,0.2806,0.2158,0.2787,0.3052,0.0839,0.3041,0.3339,0.1885,0.0659,0.1967,0.3468,0.2765,0.4406,0.64,0.3507,0.2875,0.4263,0.19,0.3435
15.38461538,15.38461538,15.38461538,0,30.76923077,15.38461538,7.692307692,0,0,0,0,0,0,0,0,IM,3,-9.0925,14.2324,2.8125,0.055,7.2308,25.3846,0.2859,1796.7692,7.4638,128.3292,1.8154,54.8106,1.9231,4.3523,4.6508,56.8769,7.3592,2.2092,12.7769,128.9231,206.8462,167.4462,75.7154,0.3052,0.4546,1.8698,4.2367,0.05,295.787,1.5501,5.7865,0.111,9.4287,0.426,0.4182,0.2611,7.7704,1.7441,0.4452,3.8059,66.6982,44.213,30.0876,25.1787,0.0402,0.1058,0.3076,0.2692,0.2073,0.2676,0.2922,0.0806,0.2918,0.32,0.1815,0.0641,0.1887,0.3327,0.2659,0.4266,0.6083,0.3364,0.2763,0.4075,0.1838,0.3286
22.22222222,22.22222222,22.22222222,0,22.22222222,0,11.11111111,0,0,0,0,0,0,0,0,IM,3,-9.6338,13.1453,2.4682,0.0604,6.4444,24.6667,0.2652,1808.8889,7.05,130.0956,1.7911,53.718,1.8889,4.3489,4.5733,54.6444,7.05,2.1289,12.8778,138.4444,207.4444,163.8667,72.7667,0.3089,0.4478,1.8272,5.4815,0.0492,407.4568,1.9333,7.1807,0.1388,12.648,0.5926,0.5674,0.1956,9.3086,2.3378,0.5457,5.1753,76.3951,61.0864,39.6148,33.7481,0.0548,0.1447,0.3361,0.3277,0.2202,0.3189,0.3531,0.094,0.3555,0.3902,0.2179,0.0545,0.2208,0.4029,0.3179,0.507,0.6373,0.4028,0.3351,0.5043,0.2167,0.3989
20,20,20,0,20,10,10,0,0,0,0,0,0,0,0,IM,3,-10.395,14.5336,2.5178,0.0589,6.8,25,0.2744,1800.8,7.236,129.545,1.803,54.2155,1.9,4.358,4.631,55.69,7.071,2.176,12.92,131.1,206.7,165.91,73.81,0.3084,0.448,2,5.2,0.0535,374.8,1.8328,6.793,0.1344,11.7812,0.54,0.5216,0.2514,9.152,2.1124,0.5288,4.7,76.1,56.02,37.288,31.208,0.0497,0.1304,0.3405,0.3093,0.2255,0.3042,0.3354,0.0907,0.3353,0.3684,0.2064,0.0632,0.2131,0.3812,0.3021,0.4795,0.6602,0.3836,0.3162,0.4736,0.206,0.3783
16.67083229,16.67083229,16.67083229,0,16.67083229,24.99375156,8.32291927,0,0,0,0,0,0,0,0,IM,3,-10.819,14.5339,2.4027,0.056,7.3332,25.4976,0.2882,1788.5359,7.5145,128.7187,1.8208,54.9562,1.9168,4.3714,4.7175,57.2558,7.1022,2.2465,12.9843,120.0765,205.5686,168.9611,75.368,0.3077,0.4483,2.1112,4.6662,0.056,322.3573,1.7134,6.0736,0.1239,10.314,0.4583,0.4481,0.3104,8.6727,1.7712,0.51,3.9693,72.5936,47.9844,33.8695,27.0521,0.0419,0.1089,0.3309,0.2803,0.2233,0.28,0.3063,0.0849,0.3034,0.3339,0.1879,0.0699,0.1989,0.3466,0.2763,0.4357,0.6893,0.3523,0.2863,0.4259,0.1886,0.3451
15.38461538,15.38461538,15.38461538,0,15.38461538,30.76923077,7.692307692,0,0,0,0,0,0,0,0,IM,3,-10.7513,14.2324,2.3616,0.0546,7.5385,25.6923,0.2935,1784,7.6223,128.4015,1.8277,55.2488,1.9231,4.3769,4.7508,57.8615,7.1146,2.2738,13.0077,115.8462,205.1538,170.1538,75.9769,0.3074,0.4485,2.1065,4.426,0.0558,301.2308,1.6476,5.7531,0.1186,9.6983,0.426,0.4187,0.3224,8.3763,1.6383,0.4959,3.6828,70.2722,44.7574,32.3574,25.3396,0.0388,0.1006,0.3233,0.2685,0.2198,0.2699,0.2942,0.0823,0.2906,0.32,0.1804,0.071,0.1925,0.3325,0.2655,0.4179,0.698,0.3393,0.2742,0.4069,0.1814,0.3314
4.761904762,19.04761905,19.04761905,9.523809524,19.04761905,19.04761905,0,9.523809524,0,0,0,0,0,0,0,FCC,3,-8.4419,15.4329,3.2627,0.0557,7.8571,25.4762,0.3022,1784.7143,7.66,127.9024,1.791,54.8417,1.7619,4.2338,4.7067,56.5095,7.1776,2.221,12.2762,117.4762,198,163.1476,68.9905,0.3179,0.4233,1.9048,2.4127,0.0496,190.3673,1.2533,4.9298,0.1149,5.0659,0.4354,0.273,0.2806,6.8463,1.4855,0.3955,2.8916,64.0181,40.7619,23.298,27.5156,0.057,0.1486,0.292,0.1352,0.195,0.1631,0.222,0.0716,0.1371,0.2985,0.0882,0.0646,0.1501,0.2686,0.2146,0.3268,0.6379,0.2842,0.1892,0.4438,0.2151,0.4278
4.545454545,18.18181818,18.18181818,13.63636364,18.18181818,18.18181818,0,9.090909091,0,0,0,0,0,0,0,FCC,3,-6.7314,15.5474,4.0773,0.0545,8,25.6364,0.3057,1765.3182,7.7182,127.8977,1.7959,55.2374,1.7273,4.2,4.7041,56.1091,7.0341,2.2073,12.4773,114.4091,194.9091,161.9909,68.0045,0.3192,0.4195,1.9091,2.405,0.0496,200.3223,1.2334,4.707,0.1129,5.0874,0.4628,0.3036,0.2698,6.9719,1.6268,0.3874,2.943,63.3388,43.405,23.5008,27.3405,0.0558,0.146,0.2919,0.1344,0.1956,0.1688,0.218,0.0709,0.137,0.3114,0.0943,0.0632,0.1513,0.2837,0.2129,0.3227,0.6517,0.2913,0.189,0.4449,0.2102,0.4237
9.090909091,18.18181818,18.18181818,9.090909091,18.18181818,18.18181818,0,9.090909091,0,0,0,0,0,0,0,BCC+FCC,3,-10.1922,15.7452,2.6973,0.0595,7.6364,24.9091,0.2989,1746,7.4345,128.5964,1.7827,53.5754,1.8182,4.1955,4.6873,55.4727,6.9327,2.1691,12.7909,112.8182,192.1818,159.3364,67.1818,0.3187,0.4209,2.0992,3.0248,0.0515,224.9091,1.4833,5.8413,0.1202,6.4474,0.4463,0.3094,0.282,7.6661,1.7742,0.4192,3.2281,64.4959,47.3719,26.3967,28.238,0.0553,0.1445,0.3221,0.1707,0.1989,0.192,0.2632,0.0734,0.1748,0.3162,0.0965,0.0662,0.1722,0.3163,0.241,0.3577,0.676,0.3179,0.2187,0.4621,0.21,0.4212
15.38638985,15.38638985,15.38638985,0,15.38638985,15.38638985,0,23.06805075,0,0,0,0,0,0,0,IM,3,-22.3281,14.7845,1.1543,0.0748,6.4618,23.2309,0.2695,1743.2849,6.5033,132.4777,1.7231,49.8848,2,4.2884,4.6039,52.6625,6.4994,2.0231,12.9234,102.0048,175.8531,148.1653,59.0426,0.3314,0.3893,2.3432,3.7162,0.0584,254.0508,2.0946,9.5982,0.1387,7.9787,0.3077,0.337,0.29,9.7396,2.0348,0.4895,3.6711,61.2349,60.1878,36.0777,31.4105,0.0585,0.1515,0.3963,0.2083,0.2375,0.2148,0.3522,0.0846,0.2125,0.2774,0.1062,0.071,0.2086,0.3676,0.288,0.3986,0.738,0.3872,0.2741,0.5683,0.2084,0.4652
14.28571429,14.28571429,0,0,14.28571429,14.28571429,0,14.28571429,0,0,0,14.28571429,0,0,14.28571429,BCC,3,-28.6605,16.1784,1.0074,0.094,6.1429,25.5714,0.2469,1784.5714,6.4943,136.4257,1.6757,55.7837,2.1429,4.7014,4.5157,52.9,6.0871,1.8471,12.4,119.1429,143.1429,145.0714,46.7286,0.3593,0.3143,2.449,5.3469,0.0736,264.2041,1.7608,11.5122,0.1694,11.8743,0.2449,0.6588,0.3196,10.7143,2.0861,0.4147,3.8571,62.1224,54.449,36.4041,21.2612,0.0432,0.1065,0.4212,0.2933,0.3432,0.215,0.3281,0.1161,0.3171,0.1633,0.1771,0.0833,0.2157,0.3853,0.2601,0.4243,0.6149,0.4102,0.2776,0.523,0.1336,0.3791
16.66666667,0,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,0,0,16.66666667,BCC,3,-28.7527,14.8968,0.926,0.0934,5.6667,25.3333,0.2325,1787.3333,6.1033,138.3133,1.6417,55.2588,2.1667,4.7533,4.435,51.1,5.7883,1.83,12.1667,96.8333,132.1667,135.9833,47.7833,0.3517,0.3333,2.2222,6,0.0666,304.5556,1.6689,11.5433,0.1522,13.3285,0.2778,0.7167,0.26,10.7,2.135,0.4667,4.1889,50.1667,48.8889,33.3833,23.75,0.0417,0.1033,0.4402,0.3188,0.3579,0.2318,0.3368,0.1156,0.3448,0.172,0.187,0.0779,0.2224,0.4158,0.2825,0.4643,0.5443,0.4266,0.2666,0.5494,0.1358,0.3552
0,0,0,0,16.66666667,16.66666667,16.66666667,16.66666667,0,0,0,16.66666667,0,0,16.66666667,IM,3,-17.7636,14.8968,1.7732,0.0929,6.1667,30.1667,0.2178,2114.5,7.3583,137.1617,1.7333,66.7535,1.8333,5.325,4.4883,57.15,7.0183,2.1467,9.0833,132.6667,175.3333,166.9333,63.5333,0.3453,0.35,1.8889,7.2222,0.0764,287.8333,1.6483,10.6922,0.2333,17.889,0.2778,0.8067,0.2617,8.9333,1.6222,0.44,2.6833,46.7778,71.3333,38.4778,32.6,0.048,0.12,0.3555,0.2627,0.4118,0.1819,0.2564,0.155,0.2896,0.2033,0.1747,0.0763,0.1764,0.2674,0.2525,0.3293,0.4352,0.4816,0.3052,0.577,0.1499,0.3685
20,16,16,0,16,16,0,0,0,0,0,0,16,0,0,BCC,3,-12.2715,14.8652,1.9716,0.058,7,23.4,0.2907,1627.56,6.9864,130.0292,1.7348,50.2612,2.04,3.8988,4.576,51.588,6.638,2.0704,15.408,172.28,189.52,149.284,69.456,0.299,0.4724,1.92,4.16,0.0404,312.5632,1.7146,6.847,0.133,9.3117,0.384,0.5167,0.3194,11.5034,1.9392,0.4636,5.2902,130.7008,47.808,36.0845,25.4003,0.0503,0.1353,0.3381,0.2287,0.1555,0.2437,0.3197,0.0799,0.2361,0.2935,0.1452,0.0809,0.2421,0.3817,0.2863,0.3923,0.9391,0.3461,0.28,0.4195,0.2092,0.3535
0,18.18181818,18.18181818,0,18.18181818,18.18181818,0,0,0,0,0,9.090909091,18.18181818,0,0,FCC,3,-6.0118,14.6974,4.4884,0.0329,7.7273,25.7273,0.2976,1835.9091,7.8818,127.1855,1.7536,55.6138,1.8182,4.1427,4.6182,56.5636,7.8327,2.2991,12.9,205.1818,211.0909,165.9,76.8273,0.2958,0.4818,1.3884,1.3884,0.0383,188.2314,0.7223,3.6443,0.1306,2.4107,0.2975,0.4602,0.3322,7.3917,0.6734,0.3207,3.6727,124.595,24.6942,19.2364,18.1421,0.0536,0.1435,0.2071,0.0622,0.1483,0.1263,0.1105,0.0785,0.0514,0.2121,0.1577,0.0813,0.1667,0.1007,0.1534,0.3842,0.7413,0.1847,0.1479,0.3126,0.2248,0.3673
0,16.66666667,16.66666667,0,16.66666667,16.66666667,0,0,0,0,0,16.66666667,16.66666667,0,0,IM,3,-7.2767,14.8968,3.8177,0.0329,7.5,25.5,0.2909,1864.8333,7.735,127.5533,1.7433,55.2245,1.8333,4.24,4.5917,56.9833,7.8183,2.2833,12.5167,199.8333,204.1667,165.1667,74.5833,0.3008,0.4683,1.5,1.5,0.0418,211.1111,0.8083,3.8311,0.13,2.5992,0.2778,0.4867,0.3222,7.0556,0.6317,0.3044,3.75,117.7778,28.8333,18.3667,19.6222,0.0542,0.145,0.2277,0.067,0.164,0.1297,0.1249,0.0781,0.0548,0.2033,0.166,0.0806,0.1603,0.0968,0.1496,0.3925,0.7341,0.2147,0.143,0.3241,0.2187,0.3742
