Pm,ρ,α,ad-e/n,δ-e/n,δ-Ec,Phase
1,7.69,13.49,0.0414,0.187,0.1107,BCC+FCC
1,7.8015,13.195,0.0398,0.1887,0.1072,BCC+FCC
1,7.4675,13.455,0.0486,0.1747,0.102,BCC+FCC
1,7.0885,15.25,0.0551,0.1887,0.1136,BCC+FCC
1,7.3445,15.195,0.0434,0.157,0.1169,BCC+FCC
1,7.5375,13.51,0.0528,0.1801,0.099,BCC+FCC
1,7.016,16.215,0.0491,0.1855,0.113,BCC+FCC
1,7.985,14.185,0.048,0.1977,0.1366,BCC+FCC
1,7.7305,14.2,0.0476,0.1702,0.1013,BCC+FCC
1,7.7175,13.095,0.0459,0.17,0.1011,BCC+FCC
1,6.55,15.525,0.0426,0.1613,0.1085,BCC+FCC
1,6.938,12.53,0.0449,0.1726,0.1244,BCC+FCC
1,7.4345,13.805,0.0501,0.181,0.1044,BCC+FCC
1,6.51,15.755,0.0478,0.1795,0.1151,BCC+FCC
1,7.2325,13.935,0.0481,0.1995,0.1119,BCC+FCC
1,7.6795,14.05,0.046,0.1756,0.1083,BCC+FCC
1,7.392,14.065,0.0442,0.1743,0.1207,BCC+FCC
1,7.191,14.285,0.0527,0.2044,0.1148,BCC+FCC
1,7.5555,13.715,0.0433,0.179,0.1361,BCC+FCC
1,7.138,13.775,0.0548,0.1915,0.1044,BCC+FCC
1,7.052,14.74,0.0507,0.1889,0.1194,BCC+FCC
1,7.523,14.575,0.0497,0.1962,0.1286,BCC+FCC
1,7.7305,14.335,0.0469,0.1884,0.1012,BCC+FCC
1,7.3335,15.47,0.0549,0.1872,0.1277,BCC+FCC
1,7.8485,13.175,0.0486,0.1791,0.1356,BCC+FCC
1,7.5485,14.125,0.043,0.1597,0.0989,BCC+FCC
1,6.91,15.57,0.0463,0.1794,0.1094,BCC+FCC
1,7.0415,14.495,0.053,0.2126,0.1137,BCC+FCC
1,6.6815,15.06,0.0454,0.1786,0.1173,BCC+FCC
1,7.5585,13.63,0.0519,0.1785,0.1393,BCC+FCC
1,7.5945,13.495,0.0461,0.1965,0.1006,BCC+FCC
1,7.1765,14.375,0.0466,0.1976,0.1095,BCC+FCC
1,7.6065,13.625,0.0458,0.1603,0.0857,BCC+FCC
1,6.6655,15.405,0.0495,0.1807,0.1104,BCC+FCC
1,7.536,13.785,0.0528,0.1807,0.1043,BCC+FCC
1,6.6905,14.55,0.0431,0.1708,0.104,BCC+FCC
1,6.7245,15.04,0.0449,0.1739,0.1075,BCC+FCC
1,7.0795,13.985,0.0546,0.2063,0.1162,BCC+FCC
1,7.57,13.56,0.0427,0.1678,0.1131,BCC+FCC
1,7.2425,15.135,0.0519,0.1877,0.1324,BCC+FCC
1,6.8135,15.735,0.0453,0.183,0.1172,BCC+FCC
1,7.2255,14.565,0.0496,0.1993,0.1149,BCC+FCC
1,6.6105,15.355,0.0465,0.1732,0.1088,BCC+FCC
1,7.5495,13.605,0.0566,0.1877,0.1046,BCC+FCC
1,7.3565,15.47,0.041,0.1579,0.1107,BCC+FCC
1,6.9445,14.95,0.0521,0.1876,0.1111,BCC+FCC
1,7.56,13.695,0.0457,0.1637,0.0925,BCC+FCC
1,6.9945,13.985,0.0445,0.1678,0.1133,BCC+FCC
1,7.164,13.33,0.0448,0.1688,0.1237,BCC+FCC
1,7.3815,14.255,0.0462,0.1652,0.1281,BCC+FCC
1,7.0725,14.535,0.0528,0.1987,0.1129,BCC+FCC
1,7.757,14.525,0.0536,0.1786,0.1332,BCC+FCC
1,7.2345,13.875,0.0512,0.1939,0.0948,BCC+FCC
1,7.813,15.985,0.0516,0.1766,0.1327,BCC+FCC
1,6.662,15.43,0.0485,0.1778,0.11,BCC+FCC
1,7.677,15.245,0.0421,0.1506,0.1126,BCC+FCC
1,7.1645,15.155,0.0505,0.1794,0.1358,BCC+FCC
1,7.086,14.66,0.0454,0.1763,0.1251,BCC+FCC
1,7.2255,14.45,0.0457,0.1664,0.111,BCC+FCC
1,7.9045,13.485,0.0472,0.1923,0.1369,BCC+FCC
1,6.9305,15.05,0.0483,0.1777,0.109,BCC+FCC
1,6.6,15.43,0.0437,0.1619,0.1074,BCC+FCC
1,7.2155,14.01,0.051,0.1804,0.1012,BCC+FCC
1,7.538,13.405,0.0437,0.184,0.1296,BCC+FCC
1,7.487,13.545,0.0454,0.1791,0.1087,BCC+FCC
1,7.361,15.535,0.0421,0.1641,0.1117,BCC+FCC
1,6.721,15.065,0.044,0.1701,0.1071,BCC+FCC
1,7.3335,14.745,0.0508,0.179,0.1187,BCC+FCC
1,7.0075,14.195,0.047,0.1813,0.1,BCC+FCC
1,7.491,14.635,0.0409,0.1627,0.1054,BCC+FCC
1,7.783,14.845,0.0414,0.1574,0.1061,BCC+FCC
1,7.623,13.815,0.0454,0.1792,0.1104,BCC+FCC
1,7.2375,14.56,0.0451,0.1686,0.1039,BCC+FCC
1,7.5575,12.955,0.0452,0.1761,0.0965,BCC+FCC
1,7.5815,16.03,0.0565,0.1883,0.1267,BCC+FCC
1,7.159,13.43,0.0471,0.176,0.1314,BCC+FCC
1,7.4375,13.7,0.0507,0.1824,0.1028,BCC+FCC
1,6.927,15.365,0.0509,0.1882,0.1102,BCC+FCC
1,7.6425,13.47,0.0432,0.1537,0.12,BCC+FCC
1,7.62,14.335,0.0505,0.1748,0.1089,BCC+FCC
1,7.209,15.885,0.0494,0.1763,0.1157,BCC+FCC
1,7.513,13.525,0.0449,0.1679,0.1236,BCC+FCC
1,6.8805,15.145,0.0472,0.178,0.1088,BCC+FCC
1,7.4275,13.41,0.047,0.1702,0.0958,BCC+FCC
1,7.215,15.25,0.0463,0.1716,0.1219,BCC+FCC
1,7.441,13.675,0.0516,0.1843,0.1034,BCC+FCC
1,6.9385,15.535,0.0519,0.1916,0.1103,BCC+FCC
1,7.6535,14.885,0.0503,0.1814,0.1312,BCC+FCC
1,7.027,13.835,0.0483,0.1945,0.1067,BCC+FCC
1,7.3295,13.405,0.0449,0.1698,0.0969,BCC+FCC
1,7.01,14.9,0.0493,0.1946,0.1161,BCC+FCC
1,7.476,13.69,0.0552,0.2099,0.1143,BCC+FCC
1,7.5215,13.835,0.0425,0.1797,0.1171,BCC+FCC
1,7.4205,13.43,0.0531,0.1846,0.114,BCC+FCC
1,7.463,13.495,0.0421,0.1839,0.1323,BCC+FCC
3,8.2715,13.7,0.0279,0.1159,0.1218,FCC
3,8.551,14.21,0.0297,0.0913,0.1043,FCC
3,8.1245,12.89,0.0367,0.1373,0.0792,FCC
3,8.517,13.105,0.029,0.1206,0.0934,FCC
4,7.6375,15.065,0.0318,0.1335,0.1844,FCC
3,8.1745,13.2,0.0339,0.1511,0.1048,FCC
4,8.101,14.1,0.0262,0.1039,0.103,FCC
3,8.2815,12.975,0.0326,0.1395,0.081,FCC
1,7.989,13.825,0.034,0.1401,0.165,FCC
4,7.874,14.655,0.0344,0.1318,0.1039,FCC
3,8.134,13.255,0.0309,0.1348,0.1282,FCC
4,8.0615,15.515,0.0267,0.1128,0.1834,FCC
1,8.152,12.35,0.0259,0.1098,0.0847,FCC
4,8.1805,16.26,0.0265,0.0967,0.1792,FCC
4,7.868,13.975,0.0299,0.1188,0.0807,FCC
4,8.472,13.19,0.0285,0.1412,0.0691,FCC
4,8.232,12.4,0.0347,0.1352,0.0929,FCC
4,8.0615,12.8,0.033,0.1249,0.0679,FCC
1,8.2905,13.345,0.0344,0.1625,0.1508,FCC
1,7.9395,13.835,0.0355,0.1382,0.1685,FCC
3,7.88,13.625,0.0318,0.1253,0.0711,FCC
2,8.148,14.055,0.0336,0.1269,0.1008,FCC
4,8.0895,12.67,0.0325,0.1419,0.11,FCC
3,8.176,13.56,0.0275,0.1189,0.084,FCC
4,8.5225,12.935,0.0286,0.1439,0.1447,FCC
4,8.479,12.515,0.0335,0.1665,0.1657,FCC
3,8.449,12.885,0.0242,0.0919,0.0634,FCC
4,8.0345,15.28,0.0306,0.1178,0.1675,FCC
1,8.537,12.445,0.0388,0.1803,0.1565,FCC
4,8.633,12.265,0.04,0.2031,0.1842,FCC
2,8.611,13.165,0.0294,0.1585,0.1726,FCC
3,8.367,12.915,0.0358,0.1505,0.1025,FCC
4,8.0575,13.19,0.0329,0.1286,0.0851,FCC
4,8.1845,14.14,0.0305,0.1124,0.0983,FCC
3,8.223,12.935,0.0327,0.146,0.0849,FCC
3,8.2885,13.54,0.0343,0.164,0.1583,FCC
1,8.719,12.97,0.0333,0.1585,0.1491,FCC
3,8.392,13.015,0.0252,0.1055,0.0812,FCC
1,8.3765,12.35,0.0302,0.1172,0.0643,FCC
3,8.411,13.95,0.0235,0.0881,0.1059,FCC
3,8.241,13.045,0.028,0.1114,0.0988,FCC
3,8.3255,13.23,0.0252,0.0959,0.0935,FCC
3,8.1965,13.79,0.0315,0.121,0.0936,FCC
2,8.6105,13.485,0.0351,0.1578,0.1696,FCC
2,8.003,13.65,0.0225,0.1002,0.0949,FCC
3,8.467,13.2,0.0302,0.1242,0.1021,FCC
4,8.094,14.065,0.0364,0.1524,0.1303,FCC
3,8.496,12.31,0.0378,0.1753,0.1662,FCC
4,7.699,14.66,0.0286,0.1262,0.1961,FCC
3,8.264,12.765,0.0358,0.1497,0.1034,FCC
4,7.437,14.98,0.0328,0.1537,0.2414,FCC
1,8.3695,15.555,0.0353,0.1325,0.1717,FCC
3,8.4195,13.61,0.0259,0.1088,0.1094,FCC
4,8.392,14.615,0.0261,0.0973,0.1267,FCC
4,8.3395,15.395,0.0331,0.1229,0.1748,FCC
4,8.2835,12.475,0.0356,0.1358,0.0933,FCC
3,8.324,13.045,0.0267,0.105,0.0901,FCC
3,7.737,13.415,0.0299,0.1294,0.0794,FCC
2,8.6245,13.43,0.0328,0.1641,0.188,FCC
2,8.614,13.505,0.0307,0.1627,0.1882,FCC
4,7.8295,14.07,0.0356,0.1431,0.106,FCC
1,8.4465,12.375,0.0364,0.1416,0.0842,FCC
3,8.385,12.01,0.0342,0.133,0.0542,FCC
4,7.8485,12.44,0.0348,0.1514,0.1287,FCC
3,8.6165,13.28,0.0271,0.117,0.0935,FCC
4,8.6665,13.2,0.0248,0.1027,0.0776,FCC
3,8.092,13.47,0.03,0.1176,0.0852,FCC
4,7.9245,15.165,0.0253,0.1171,0.1823,FCC
1,7.9545,13.9,0.0265,0.121,0.1176,FCC
4,8.2325,11.605,0.0279,0.1126,0.0273,FCC
4,8.731,13.11,0.0311,0.1662,0.172,FCC
1,8.011,13.805,0.0327,0.146,0.1406,FCC
3,8.307,13.125,0.0325,0.1714,0.1999,FCC
3,7.787,13.32,0.031,0.128,0.0706,FCC
3,8.129,13.11,0.0284,0.1286,0.1206,FCC
4,7.657,14.665,0.0339,0.135,0.0926,FCC
3,8.339,13.905,0.0276,0.1235,0.0953,FCC
4,7.617,15.56,0.0324,0.1346,0.1966,FCC
2,8.429,15.74,0.028,0.1012,0.1638,FCC
3,8.305,13.275,0.0299,0.1215,0.0693,FCC
3,8.3155,13.3,0.0352,0.1404,0.1219,FCC
4,8.0825,15.38,0.0317,0.118,0.1685,FCC
1,7.929,13.91,0.0323,0.1265,0.1677,FCC
4,8.475,13.67,0.0353,0.1389,0.1296,FCC
3,8.1835,13.16,0.0261,0.1045,0.0528,FCC
3,8.362,12.77,0.0346,0.1468,0.0891,FCC
4,8.5975,14.14,0.0274,0.0858,0.1023,FCC
3,8.315,13.565,0.0324,0.1281,0.0894,FCC
2,8.3865,13.165,0.0282,0.1572,0.1849,FCC
3,8.253,13.215,0.0338,0.1687,0.1658,FCC
4,8.346,13.87,0.0284,0.1148,0.0889,FCC
3,8.157,13.015,0.0331,0.1693,0.1666,FCC
3,8.0695,12.84,0.0348,0.1346,0.078,FCC
3,8.2435,12.94,0.03,0.1692,0.1887,FCC
1,7.91,13.74,0.0325,0.1416,0.1457,FCC
1,8.335,12.41,0.0319,0.1377,0.0335,FCC
4,8.449,12.87,0.0258,0.1044,0.0675,FCC
2,9.624,10.235,0.0832,0.4004,0.2774,IM
3,7.902,9.655,0.1009,0.496,0.2327,IM
4,8.6465,9.195,0.0966,0.4787,0.2024,IM
3,8.958,10.32,0.0943,0.4864,0.2412,IM
3,8.629,9.68,0.0861,0.5382,0.2338,IM
3,9.292,10.115,0.1178,0.5793,0.2479,IM
4,8.779,9.865,0.0974,0.4757,0.1985,IM
2,7.246,9.945,0.0643,0.3849,0.207,IM
4,8.8365,10.1,0.0831,0.5015,0.2157,IM
2,8.86,9.43,0.093,0.4992,0.1895,IM
3,8.728,10.01,0.1028,0.5318,0.2147,IM
3,8.657,10.045,0.0994,0.4881,0.2209,IM
2,8.7265,9.84,0.1014,0.5276,0.2024,IM
4,9.269,10.11,0.107,0.5272,0.2243,IM
3,7.945,9.47,0.0906,0.4718,0.1894,IM
2,8.6615,10.925,0.0827,0.4313,0.2243,IM
3,8.7545,9.77,0.0913,0.4424,0.2038,IM
4,8.9925,10.07,0.0998,0.4667,0.2025,IM
3,8.7035,10.05,0.0895,0.4688,0.2199,IM
3,8.9835,10.325,0.0905,0.5209,0.2482,IM
2,10.252,9.86,0.1021,0.5002,0.2755,IM
2,7.4665,10.515,0.0649,0.3817,0.235,IM
2,10.4905,10.93,0.1072,0.4951,0.3154,IM
2,9.2715,9.925,0.106,0.5008,0.2586,IM
4,8.7825,9.84,0.0987,0.4793,0.198,IM
2,10.5385,9.89,0.1113,0.5007,0.2787,IM
2,7.8045,9.3,0.0842,0.4217,0.174,IM
3,7.747,9.15,0.082,0.4558,0.1968,IM
3,10.4495,10.035,0.1155,0.5349,0.2857,IM
2,9.3045,9.41,0.0965,0.5221,0.2272,IM
2,9.4,9.965,0.1004,0.4821,0.2426,IM
3,9.307,9.6,0.0996,0.5182,0.1886,IM
4,7.8115,9.775,0.0845,0.4343,0.194,IM
3,7.7465,9.245,0.0911,0.4603,0.1775,IM
2,8.734,10.105,0.0985,0.482,0.2241,IM
2,8.2535,9.505,0.0972,0.4587,0.2649,IM
3,8.6745,10.055,0.1125,0.4957,0.2583,IM
3,8.0305,9.745,0.0894,0.4647,0.1885,IM
4,8.9595,9.26,0.0911,0.5082,0.1997,IM
4,10.097,10.31,0.1078,0.5117,0.2708,IM
2,8.949,9.7,0.0927,0.4718,0.1856,IM
2,10.191,8.71,0.0982,0.5788,0.2351,IM
2,8.9955,10.19,0.0989,0.4256,0.2733,IM
3,9.57,9.425,0.1084,0.5472,0.203,IM
3,7.8195,9.735,0.0667,0.3509,0.1466,IM
2,8.8195,10.005,0.0872,0.4174,0.1998,IM
3,9.044,10.145,0.1023,0.4719,0.2009,IM
3,7.6675,9.25,0.0856,0.4398,0.1905,IM
2,9.2035,10.155,0.109,0.5088,0.1958,IM
2,8.8185,10.33,0.0849,0.4781,0.2301,IM
2,7.9565,10.97,0.0804,0.3834,0.2674,IM
3,8.875,9.745,0.097,0.4844,0.1866,IM
2,10.574,10.27,0.1201,0.5445,0.287,IM
3,7.4185,9.68,0.066,0.4,0.201,IM
2,10.038,9.645,0.1064,0.5411,0.2381,IM
3,11.297,10.56,0.1252,0.5593,0.3174,IM
2,9.2465,9.515,0.1086,0.5355,0.2025,IM
3,7.915,11.31,0.0729,0.3753,0.1993,IM
3,7.9255,9.26,0.0865,0.4373,0.1836,IM
3,8.711,10.13,0.0997,0.4964,0.204,IM
4,8.613,9.485,0.0886,0.4995,0.201,IM
3,7.637,10.565,0.0833,0.4286,0.2145,IM
4,9.024,9.87,0.0989,0.4861,0.2135,IM
2,8.4185,10.07,0.082,0.3778,0.2444,IM
3,9.2305,9.75,0.0926,0.5265,0.2372,IM
2,8.885,10.25,0.0962,0.4474,0.1999,IM
4,8.369,9.29,0.0914,0.4788,0.2097,IM
3,8.8125,11.07,0.0965,0.4837,0.2313,IM
2,8.9945,10.64,0.0931,0.5075,0.2189,IM
3,9.2,10.18,0.1078,0.5062,0.1963,IM
3,8.604,10.03,0.1008,0.5031,0.1859,IM
2,8.331,9.285,0.0771,0.4603,0.1832,IM
2,8.5825,9.835,0.0976,0.4435,0.2243,IM
3,9.1965,10.205,0.1066,0.5034,0.1968,IM
4,7.617,9.57,0.0671,0.398,0.2063,IM
