Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,
3,8.53,13.095,0.0185,0.0673,0.0467,FCC
3,8.6345,13.415,0.02,0.0678,0.0638,FCC
2,8.583,13.34,0.0202,0.0702,0.0634,FCC
3,8.5315,13.265,0.02,0.0719,0.063,FCC
3,8.636,13.585,0.0212,0.0714,0.0758,FCC
4,8.5845,13.51,0.0216,0.0741,0.0753,FCC
4,8.533,13.435,0.0214,0.076,0.0746,FCC
4,8.7405,13.905,0.02,0.0665,0.0865,FCC
2,8.6375,13.755,0.0224,0.0747,0.0852,FCC
4,8.586,13.68,0.0229,0.0776,0.0844,FCC
4,8.5345,13.605,0.0229,0.0798,0.0836,FCC
3,8.639,13.925,0.0236,0.0776,0.0925,FCC
2,8.536,13.775,0.0243,0.0831,0.0906,FCC
4,8.589,14.02,0.0256,0.0836,0.0972,FCC
2,8.5375,13.945,0.0258,0.0862,0.096,FCC
3,8.5905,14.19,0.0269,0.0862,0.1013,FCC
2,8.6295,13.27,0.0179,0.0628,0.0469,FCC
4,8.734,13.59,0.018,0.0604,0.0642,FCC
3,8.631,13.44,0.0192,0.0671,0.0636,FCC
3,8.5795,13.365,0.0191,0.0692,0.0632,FCC
4,8.528,13.29,0.0185,0.0705,0.0627,FCC
4,8.787,13.835,0.0176,0.0589,0.077,FCC
4,8.684,13.685,0.0201,0.0678,0.0761,FCC
2,8.6325,13.61,0.0205,0.071,0.0756,FCC
4,8.581,13.535,0.0205,0.0733,0.075,FCC
4,8.634,13.78,0.0219,0.0744,0.0848,FCC
2,8.5825,13.705,0.022,0.077,0.0841,FCC
3,8.531,13.63,0.0216,0.0789,0.0833,FCC
3,8.4795,13.555,0.0207,0.0801,0.0824,FCC
3,8.6355,13.95,0.0232,0.0775,0.0921,FCC
3,8.584,13.875,0.0234,0.0803,0.0912,FCC
3,8.5325,13.8,0.0231,0.0825,0.0902,FCC
4,8.5855,14.045,0.0249,0.0834,0.0967,FCC
4,8.6385,14.29,0.0259,0.0829,0.1021,FCC
3,8.729,13.445,0.0165,0.0561,0.0469,FCC
3,8.4715,13.07,0.017,0.0633,0.0459,FCC
3,8.782,13.69,0.0167,0.0558,0.0643,FCC
4,8.679,13.54,0.0182,0.0637,0.0637,FCC
3,8.5245,13.315,0.0174,0.0689,0.0624,FCC
4,8.7835,13.86,0.0178,0.0593,0.0768,FCC
3,8.732,13.785,0.0189,0.0639,0.0763,FCC
3,8.6805,13.71,0.0195,0.0675,0.0758,FCC
3,8.5775,13.56,0.0193,0.0723,0.0747,FCC
3,8.579,13.73,0.0208,0.0763,0.0837,FCC
4,8.5275,13.655,0.0201,0.0778,0.0829,FCC
4,8.6835,14.05,0.0222,0.074,0.0927,FCC
3,8.6335,14.145,0.024,0.0803,0.0974,FCC
4,8.6135,13.825,0.0369,0.1613,0.1798,FCC
4,8.6085,13.68,0.0351,0.1592,0.1749,FCC
4,8.6615,13.925,0.0358,0.1597,0.1799,FCC
3,8.6565,13.78,0.0336,0.1578,0.175,FCC
4,8.317,13.79,0.0309,0.1354,0.1023,FCC
1,7.974,13.485,0.0442,0.1959,0.1073,BCC+FCC
4,8.307,13.5,0.0272,0.1282,0.0888,FCC
4,8.516,13.5,0.0326,0.1663,0.1954,FCC
4,8.458,13.11,0.0291,0.1602,0.1819,FCC
4,8.979,13.85,0.0385,0.2024,0.2304,FCC
4,8.974,13.705,0.0369,0.2007,0.2246,FCC
4,8.305,13.375,0.0323,0.1377,0.1215,FCC
3,8.393,13.55,0.0269,0.1142,0.1076,FCC
4,8.446,13.795,0.0274,0.1162,0.1142,FCC
3,8.441,13.65,0.0256,0.1127,0.108,FCC
4,8.151,15.86,0.0245,0.0953,0.1683,FCC
4,8.392,14.615,0.0261,0.0973,0.1267,FCC
4,8.4125,14.12,0.0245,0.0919,0.11,FCC
2,8.334,14.225,0.0225,0.0865,0.1196,FCC
4,8.264,17.44,0.0331,0.1175,0.181,FCC
3,8.387,14.47,0.024,0.0919,0.1239,FCC
4,8.329,14.08,0.0202,0.0783,0.1149,FCC
3,8.382,14.325,0.0219,0.0855,0.1202,FCC
4,8.4025,13.83,0.0204,0.08,0.0998,FCC
2,8.4555,14.075,0.0213,0.0849,0.1061,FCC
3,8.606,13.34,0.0257,0.1255,0.0924,FCC
1,8.395,16.68,0.0333,0.113,0.1847,FCC
1,8.3965,16.85,0.0341,0.1163,0.1837,FCC
1,8.4685,16.43,0.0315,0.1112,0.1768,FCC
1,8.398,17.02,0.0349,0.1193,0.1817,FCC
1,8.3195,17.125,0.034,0.1149,0.1904,FCC
1,8.3915,16.705,0.0325,0.1117,0.1843,FCC
1,8.4635,16.285,0.0301,0.1072,0.1762,FCC
1,8.393,16.875,0.0332,0.115,0.1832,FCC
1,8.465,16.455,0.0308,0.1103,0.1763,FCC
1,8.324,17.635,0.0367,0.1253,0.1797,FCC
1,8.5305,15.72,0.0259,0.0972,0.1636,FCC
1,8.316,17.15,0.0331,0.113,0.1899,FCC
1,8.532,15.89,0.0265,0.1005,0.1657,FCC
1,8.5335,16.06,0.0274,0.1036,0.167,FCC
4,8.3125,17.175,0.0321,0.1109,0.1894,FCC
1,8.5285,15.915,0.0259,0.0995,0.1654,FCC
1,8.386,16.925,0.0316,0.1122,0.1821,FCC
1,8.53,16.085,0.0264,0.1027,0.1666,FCC
3,8.3825,16.95,0.0307,0.1105,0.1816,FCC
4,8.6015,12.465,0.0298,0.1442,0.1198,FCC
3,8.7155,12.155,0.0387,0.1927,0.1596,FCC
2,8.6495,12.565,0.029,0.1433,0.1193,FCC
4,8.7635,12.255,0.0389,0.1922,0.159,FCC
2,8.6975,12.665,0.028,0.1422,0.1188,FCC
4,8.646,12.59,0.0282,0.1422,0.1195,FCC
4,8.6605,12.105,0.0362,0.1903,0.1607,FCC
4,8.863,12.43,0.0391,0.192,0.1574,FCC
4,8.694,12.69,0.0273,0.1413,0.119,FCC
4,8.267,12.62,0.0282,0.1218,0.0292,FCC
4,8.315,12.72,0.0275,0.1208,0.0286,FCC
3,8.2635,12.645,0.0271,0.1203,0.0291,FCC
3,8.363,12.82,0.0265,0.1197,0.0279,FCC
4,8.26,12.67,0.026,0.1187,0.029,FCC
4,8.139,12.69,0.0331,0.1547,0.0356,FCC
2,8.3595,12.845,0.0257,0.1184,0.0279,FCC
4,8.2565,12.695,0.025,0.1168,0.0288,FCC
4,8.459,13.02,0.0238,0.1171,0.0264,FCC
4,8.4075,12.945,0.0246,0.1173,0.0272,FCC
3,8.356,12.87,0.0248,0.117,0.0278,FCC
2,8.507,13.12,0.0221,0.1156,0.0255,FCC
3,8.404,12.97,0.0238,0.116,0.0271,FCC
3,8.301,12.82,0.0237,0.1143,0.0282,FCC
4,8.458,12.15,0.0409,0.2148,0.206,FCC
4,8.4545,12.175,0.0397,0.2137,0.2062,FCC
4,8.5025,12.275,0.0406,0.2134,0.2055,FCC
3,8.4675,12.5,0.0304,0.157,0.1554,FCC
4,8.5155,12.6,0.0301,0.1563,0.1549,FCC
2,8.615,12.775,0.0295,0.1555,0.1536,FCC
4,8.547,12.4,0.0403,0.2119,0.2051,FCC
4,8.5635,12.7,0.0295,0.1555,0.1543,FCC
3,8.512,12.625,0.0291,0.1551,0.155,FCC
3,8.6115,12.8,0.0287,0.1546,0.1538,FCC
4,8.746,12.75,0.0417,0.2115,0.2018,FCC
4,8.6945,12.675,0.0416,0.2115,0.2028,FCC
3,8.711,12.975,0.0269,0.1533,0.1525,FCC
3,8.6595,12.9,0.0277,0.1536,0.1533,FCC
3,8.608,12.825,0.028,0.1536,0.154,FCC
3,8.5565,12.75,0.0279,0.1532,0.1547,FCC
3,9.02,12.735,0.0332,0.1906,0.1779,FCC
3,8.9685,12.66,0.033,0.1907,0.1787,FCC
2,9.068,12.835,0.0323,0.1896,0.1774,FCC
3,9.0165,12.76,0.0325,0.1899,0.1781,FCC
3,8.965,12.685,0.0322,0.1899,0.1789,FCC
4,8.9135,12.61,0.0314,0.1896,0.1796,FCC
2,9.0645,12.86,0.0317,0.189,0.1776,FCC
3,9.013,12.785,0.0318,0.1892,0.1783,FCC
4,8.076,11.975,0.0353,0.148,0.0768,FCC
4,8.124,12.075,0.0359,0.1478,0.0761,FCC
4,8.0725,12,0.034,0.146,0.077,FCC
4,8.212,12.25,0.0313,0.1277,0.0657,FCC
3,8.172,12.175,0.0361,0.1475,0.0754,FCC
4,8.1205,12.1,0.0347,0.146,0.0763,FCC
4,8.2085,12.275,0.0302,0.1259,0.0658,FCC
3,8.22,12.275,0.0362,0.1471,0.0747,FCC
3,8.1685,12.2,0.0351,0.1458,0.0756,FCC
4,8.308,12.45,0.0307,0.1264,0.0645,FCC
3,7.9775,11.875,0.0359,0.1586,0.0849,FCC
3,8.117,12.125,0.0335,0.144,0.0765,FCC
4,7.926,11.8,0.0349,0.1554,0.0859,FCC
4,8.18,12.2,0.0418,0.1647,0.0808,FCC
4,8.2165,12.3,0.0352,0.1455,0.0749,FCC
3,8.356,12.55,0.0301,0.1255,0.0638,FCC
3,8.0255,11.975,0.0368,0.159,0.0841,FCC
4,8.3045,12.475,0.0298,0.1248,0.0646,FCC
4,8.444,12.725,0.0242,0.0997,0.0484,FCC
4,7.974,11.9,0.0354,0.1561,0.0852,FCC
3,8.1135,12.15,0.0323,0.1418,0.0767,FCC
4,8.3925,12.65,0.0244,0.0995,0.049,FCC
4,8.062,12.075,0.0301,0.1392,0.0776,FCC
4,8.316,12.475,0.0354,0.1459,0.0731,FCC
2,8.404,12.65,0.0291,0.1245,0.0631,FCC
2,8.3525,12.575,0.0292,0.1241,0.064,FCC
3,8.492,12.825,0.0228,0.0982,0.0478,FCC
4,8.1615,12.25,0.0329,0.1419,0.076,FCC
3,8.301,12.5,0.0288,0.1231,0.0647,FCC
4,8.4405,12.75,0.0233,0.0983,0.0485,FCC
3,8.389,12.675,0.0234,0.0977,0.049,FCC
2,8.364,12.575,0.0347,0.1452,0.0723,FCC
2,8.3125,12.5,0.0347,0.1446,0.0733,FCC
4,8.452,12.75,0.0279,0.1234,0.0624,FCC
2,8.261,12.425,0.0343,0.1434,0.0743,FCC
2,8.4005,12.675,0.0284,0.1232,0.0633,FCC
2,8.54,12.925,0.0211,0.0966,0.0472,FCC
2,8.349,12.6,0.0284,0.1225,0.0641,FCC
3,8.4885,12.85,0.0221,0.0969,0.0479,FCC
3,8.158,12.275,0.0319,0.1397,0.0762,FCC
3,8.437,12.775,0.0225,0.0966,0.0485,FCC
4,8.1065,12.2,0.0299,0.137,0.0771,FCC
4,8.3855,12.7,0.0225,0.0957,0.049,FCC
2,8.3605,12.6,0.0341,0.1439,0.0725,FCC
3,8.309,12.525,0.034,0.143,0.0736,FCC
4,8.397,12.7,0.0277,0.1217,0.0634,FCC
4,8.5365,12.95,0.0205,0.0953,0.0473,FCC
4,8.206,12.375,0.0323,0.1398,0.0755,FCC
4,8.485,12.875,0.0214,0.0954,0.0479,FCC
4,8.1545,12.3,0.0308,0.1374,0.0764,FCC
3,8.294,12.55,0.0269,0.1191,0.065,FCC
2,8.186,14.9,0.0278,0.0962,0.1569,FCC
4,7.9905,15.665,0.0216,0.0908,0.1767,FCC
4,8.0625,15.245,0.0241,0.0929,0.1675,FCC
1,8.2855,15.075,0.0292,0.0977,0.1582,FCC
3,7.9665,16.185,0.0213,0.0886,0.1848,FCC
4,7.915,16.11,0.0193,0.0808,0.1834,FCC
3,8.059,15.27,0.0224,0.0888,0.1671,FCC
4,8.131,14.85,0.0242,0.0898,0.1558,FCC
4,8.0145,16.285,0.0224,0.0902,0.1857,FCC
4,8.0865,15.865,0.0246,0.0929,0.1782,FCC
4,8.107,15.37,0.0237,0.0896,0.1678,FCC
4,8.4155,13.195,0.0228,0.0754,0.0753,FCC
4,8.3335,16.315,0.0296,0.1003,0.1825,FCC
