Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,
1,1.6,4.527,0.0505,0.1835,0.2805,0.1006,0.4265,0.1538,BCC+FCC
1,1.5,4.527,0.0551,0.1976,0.2825,0.096,0.4575,0.1856,BCC+FCC
1,1.6,4.5045,0.0478,0.186,0.2769,0.0948,0.4189,0.1913,BCC+FCC
1,1.8,4.5085,0.0454,0.177,0.3204,0.106,0.3963,0.1112,BCC+FCC
1,1.8,4.4935,0.0438,0.1794,0.3177,0.1023,0.4207,0.15,BCC+FCC
1,1.7,4.501,0.0495,0.1917,0.3204,0.1007,0.4493,0.1681,BCC+FCC
1,1.75,4.486,0.0457,0.1811,0.3155,0.0981,0.4302,0.1773,BCC+FCC
1,1.85,4.4975,0.0481,0.1885,0.3599,0.106,0.4217,0.1098,BCC+FCC
1,1.9,4.4675,0.0435,0.1742,0.3501,0.1012,0.4392,0.1619,BCC+FCC
1,1.6,4.7905,0.0469,0.1643,0.2342,0.1145,0.382,0.1464,BCC+FCC
1,1.7,4.7795,0.0484,0.1696,0.2828,0.1193,0.3968,0.1254,BCC+FCC
1,1.7,4.7645,0.0564,0.1861,0.2858,0.1124,0.4001,0.1613,BCC+FCC
1,1.6,4.7145,0.0579,0.1899,0.2859,0.1132,0.4304,0.1653,BCC+FCC
1,1.8,4.7535,0.0576,0.1907,0.3283,0.1176,0.4216,0.1444,BCC+FCC
1,1.9,4.6945,0.045,0.1672,0.28,0.0836,0.3167,0.1554,BCC+FCC
1,1.85,4.6945,0.0473,0.1724,0.2807,0.0836,0.3213,0.1672,BCC+FCC
1,1.85,4.662,0.0451,0.1676,0.2786,0.0825,0.3217,0.1665,BCC+FCC
1,1.75,4.662,0.0475,0.1757,0.2796,0.0821,0.3262,0.1858,BCC+FCC
1,1.9,4.651,0.0475,0.1757,0.3205,0.092,0.3631,0.1713,BCC+FCC
1,2.1,4.6075,0.0433,0.1658,0.3556,0.0999,0.3805,0.1335,BCC+FCC
1,2.2,4.629,0.0465,0.175,0.3939,0.1085,0.4035,0.1171,BCC+FCC
1,1.75,4.602,0.044,0.1759,0.2795,0.1365,0.3298,0.1913,BCC+FCC
4,2.05,4.742,0.0385,0.1432,0.2782,0.0996,0.2877,0.0634,FCC
1,1.9,4.6995,0.0421,0.1506,0.2789,0.1126,0.3237,0.0731,BCC+FCC
1,1.85,4.707,0.0429,0.1517,0.2792,0.1157,0.3329,0.073,BCC+FCC
1,1.85,4.6745,0.0431,0.1527,0.2789,0.1141,0.3321,0.0751,BCC+FCC
1,1.75,4.6245,0.0451,0.1565,0.279,0.1135,0.3428,0.0772,BCC+FCC
1,2,4.6485,0.0432,0.1626,0.3217,0.1128,0.3449,0.0732,BCC+FCC
1,2.2,4.7125,0.043,0.1665,0.3616,0.1096,0.3462,0.0619,BCC+FCC
1,2.25,4.7015,0.0464,0.178,0.3991,0.1162,0.3783,0.0622,BCC+FCC
1,2.25,4.664,0.0461,0.1846,0.3743,0.1091,0.3758,0.0893,BCC+FCC
1,2.05,4.634,0.0459,0.1829,0.2017,0.1089,0.237,0.086,BCC+FCC
4,2.05,4.5315,0.0246,0.1095,0.1652,0.1697,0.1461,0.102,FCC
1,2.4,4.238,0.0273,0.1485,0.4186,0.231,0.5113,0.1862,BCC+FCC
4,1.6,4.6775,0.0301,0.1076,0.0664,0.0984,0.3529,0.157,FCC
4,1.55,4.685,0.0316,0.108,0.0652,0.1022,0.3572,0.1529,FCC
4,1.6,4.7025,0.0292,0.1054,0.0648,0.0993,0.3635,0.1577,FCC
4,1.55,4.71,0.0305,0.1055,0.063,0.1033,0.3653,0.1528,FCC
2,1.65,4.72,0.0264,0.1022,0.0644,0.0951,0.3697,0.1617,FCC
4,1.7,4.7375,0.0234,0.0984,0.064,0.0896,0.3758,0.165,FCC
4,1.65,4.745,0.0257,0.1001,0.0623,0.0959,0.3773,0.1595,FCC
4,1.75,4.95,0.0266,0.1147,0.0702,0.0669,0.3883,0.2019,FCC
4,1.8,4.975,0.0224,0.0977,0.0584,0.0662,0.3887,0.1841,FCC
4,1.85,4.8025,0.0298,0.1124,0.0783,0.0269,0.2526,0.1797,FCC
4,1.8,4.77,0.0309,0.1208,0.0821,0.0286,0.2633,0.1942,FCC
3,1.85,4.8275,0.0297,0.112,0.0783,0.027,0.2823,0.1912,FCC
3,1.85,4.795,0.0286,0.1102,0.0779,0.0265,0.2824,0.192,FCC
4,1.8,4.86,0.0338,0.1244,0.0836,0.0298,0.2927,0.2049,FCC
3,1.8,4.8275,0.0329,0.1229,0.0834,0.0294,0.2929,0.2056,FCC
3,1.8,4.795,0.0315,0.1208,0.0828,0.0288,0.2931,0.2062,FCC
3,1.75,4.795,0.0344,0.1303,0.0873,0.0308,0.3012,0.2194,FCC
4,1.75,4.7625,0.0322,0.1273,0.086,0.03,0.3015,0.2199,FCC
3,1.9,4.885,0.0258,0.0991,0.0711,0.0242,0.2952,0.1824,FCC
4,1.9,4.8525,0.0259,0.0986,0.072,0.0241,0.2951,0.1836,FCC
3,1.85,4.885,0.0296,0.1123,0.0774,0.0272,0.3093,0.1985,FCC
4,1.85,4.7875,0.0274,0.1077,0.0776,0.026,0.3096,0.2014,FCC
4,1.8,4.8525,0.0328,0.1225,0.0833,0.0294,0.3205,0.2142,FCC
4,1.8,4.82,0.0318,0.1207,0.0831,0.0289,0.3207,0.2151,FCC
2,1.75,4.82,0.035,0.1304,0.0878,0.031,0.3292,0.2286,FCC
4,1.75,4.7875,0.0332,0.1277,0.087,0.0303,0.3294,0.2293,FCC
4,1.95,4.8775,0.0212,0.0819,0.0639,0.0203,0.3005,0.1712,FCC
4,1.95,4.845,0.0215,0.0814,0.0651,0.0202,0.3002,0.1726,FCC
2,1.9,4.91,0.0245,0.0977,0.0695,0.0239,0.3198,0.1877,FCC
4,1.9,4.8775,0.025,0.0975,0.0709,0.0239,0.3197,0.189,FCC
2,1.9,4.845,0.0249,0.0966,0.0717,0.0237,0.3196,0.1903,FCC
4,1.9,4.8125,0.0244,0.095,0.072,0.0233,0.3195,0.1915,FCC
3,1.85,4.91,0.0286,0.1113,0.0761,0.027,0.3346,0.2041,FCC
1,1.85,4.8775,0.0287,0.1106,0.0771,0.0269,0.3346,0.2053,FCC
4,1.85,4.845,0.0284,0.1094,0.0776,0.0266,0.3347,0.2064,FCC
4,1.85,4.8125,0.0275,0.1075,0.0777,0.0261,0.3347,0.2075,FCC
2,1.8,4.91,0.0326,0.1231,0.0821,0.0297,0.3461,0.2193,FCC
4,1.8,4.8775,0.0325,0.1221,0.0828,0.0294,0.3463,0.2203,FCC
1,1.8,4.845,0.0318,0.1205,0.083,0.029,0.3464,0.2214,FCC
3,1.8,4.8125,0.0307,0.1184,0.0828,0.0285,0.3465,0.2223,FCC
4,1.75,4.91,0.0367,0.1336,0.0875,0.032,0.355,0.2335,FCC
2,1.75,4.8775,0.0362,0.1323,0.088,0.0317,0.3552,0.2344,FCC
2,1.75,4.845,0.0353,0.1304,0.088,0.0312,0.3554,0.2353,FCC
2,1.75,4.8125,0.0339,0.128,0.0875,0.0306,0.3556,0.2362,FCC
2,1.75,4.78,0.032,0.1249,0.0866,0.0298,0.3558,0.2371,FCC
4,1.65,4.7475,0.0368,0.1363,0.0928,0.0321,0.368,0.2629,FCC
3,1.95,4.9025,0.0198,0.0801,0.0619,0.0198,0.3222,0.1741,FCC
2,1.95,4.87,0.0204,0.08,0.0636,0.0199,0.3218,0.1757,FCC
3,1.9,4.935,0.023,0.0962,0.0675,0.0236,0.3425,0.1908,FCC
2,1.9,4.9025,0.0238,0.0962,0.0693,0.0236,0.3424,0.1923,FCC
2,1.9,4.87,0.0241,0.0956,0.0706,0.0235,0.3422,0.1937,FCC
3,1.9,4.8375,0.024,0.0944,0.0714,0.0233,0.3421,0.1951,FCC
4,1.85,4.9025,0.0279,0.1097,0.0759,0.0267,0.3582,0.2089,FCC
3,1.85,4.87,0.0279,0.1087,0.0769,0.0265,0.3582,0.2102,FCC
4,1.85,4.8375,0.0274,0.1072,0.0773,0.0262,0.3582,0.2115,FCC
3,1.85,4.805,0.0265,0.105,0.0773,0.0257,0.3581,0.2127,FCC
2,1.8,4.935,0.0317,0.1222,0.0808,0.0296,0.3705,0.2232,FCC
2,1.8,4.9025,0.0319,0.1214,0.0819,0.0294,0.3706,0.2244,FCC
2,1.8,4.87,0.0316,0.1201,0.0825,0.0291,0.3707,0.2255,FCC
1,1.8,4.8375,0.0309,0.1183,0.0827,0.0286,0.3708,0.2267,FCC
4,1.8,4.805,0.0296,0.1158,0.0825,0.028,0.3708,0.2278,FCC
4,1.8,4.7725,0.0279,0.1126,0.0817,0.0273,0.3709,0.2289,FCC
3,1.75,4.9025,0.0359,0.1319,0.0873,0.0317,0.3801,0.2388,FCC
1,1.75,4.87,0.0354,0.1303,0.0877,0.0313,0.3803,0.2399,FCC
2,1.75,4.8375,0.0344,0.1281,0.0877,0.0308,0.3805,0.2409,FCC
3,1.75,4.805,0.0328,0.1253,0.0872,0.0301,0.3807,0.2419,FCC
3,1.95,4.96,0.0178,0.0773,0.0563,0.019,0.3423,0.1733,FCC
4,1.95,4.8625,0.0196,0.0779,0.0634,0.0195,0.3411,0.1786,FCC
3,1.9,4.96,0.0212,0.0945,0.0649,0.0231,0.3637,0.1921,FCC
1,1.9,4.9275,0.0224,0.0948,0.0673,0.0233,0.3635,0.1937,FCC
4,1.9,4.895,0.0231,0.0945,0.0691,0.0233,0.3633,0.1953,FCC
2,1.85,4.96,0.0258,0.1088,0.0724,0.0265,0.3805,0.2093,FCC
3,1.85,4.9275,0.0267,0.1087,0.0743,0.0265,0.3804,0.2108,FCC
4,1.85,4.8625,0.0271,0.1067,0.0766,0.0261,0.3802,0.2136,FCC
3,1.9,4.94,0.0357,0.1438,0.1091,0.066,0.3845,0.1841,FCC
1,1.75,4.545,0.0357,0.1346,0.0928,0.1819,0.279,0.2407,FCC
1,1.9,4.68,0.0361,0.1221,0.0896,0.1806,0.296,0.2335,FCC
1,1.9,4.7325,0.0358,0.1216,0.0881,0.1709,0.296,0.2268,FCC
4,1.95,4.6525,0.0334,0.1124,0.087,0.19,0.2972,0.2358,FCC
1,1.95,4.7575,0.032,0.1103,0.0828,0.1719,0.2988,0.2206,FCC
1,1.9,4.6725,0.035,0.1193,0.0892,0.1802,0.3194,0.2424,FCC
4,1.8,4.8075,0.0256,0.0816,0.0575,0.085,0.2421,0.1116,FCC
4,1.65,4.7,0.0299,0.0922,0.0598,0.1006,0.2759,0.1136,FCC
4,1.8,4.8,0.0253,0.0813,0.0572,0.0846,0.2641,0.1241,FCC
4,1.8,4.7675,0.0259,0.0838,0.0591,0.0838,0.2635,0.1258,FCC
4,1.75,4.84,0.0235,0.0769,0.0515,0.0936,0.2766,0.1199,FCC
3,1.75,4.8075,0.0252,0.0809,0.0548,0.0927,0.276,0.1217,FCC
4,1.7,4.815,0.0244,0.0791,0.0516,0.0995,0.286,0.1188,FCC
4,1.65,4.79,0.0253,0.0811,0.0517,0.104,0.2932,0.1173,FCC
4,1.65,4.725,0.0286,0.0891,0.0576,0.1015,0.2913,0.1214,FCC
3,1.6,4.7,0.0297,0.0913,0.0577,0.1043,0.2958,0.1198,FCC
4,1.9,4.875,0.0218,0.0717,0.0542,0.0639,0.2598,0.1333,FCC
2,1.85,4.8175,0.0235,0.0777,0.0568,0.0752,0.2722,0.1341,FCC
2,1.8,4.8575,0.0228,0.0747,0.0512,0.0858,0.2844,0.1293,FCC
2,1.8,4.825,0.024,0.0782,0.0545,0.0851,0.2838,0.1312,FCC
4,1.8,4.7925,0.0247,0.081,0.057,0.0843,0.2831,0.133,FCC
4,1.75,4.865,0.022,0.0728,0.0472,0.0941,0.2943,0.1258,FCC
3,1.75,4.8325,0.0238,0.0773,0.0513,0.0932,0.2935,0.1278,FCC
4,1.75,4.8,0.0251,0.081,0.0546,0.0923,0.2927,0.1297,FCC
4,1.75,4.7675,0.026,0.084,0.0571,0.0914,0.2919,0.1316,FCC
4,1.7,4.71,0.0276,0.0893,0.0591,0.0957,0.2977,0.1319,FCC
4,1.65,4.7825,0.0258,0.0818,0.0515,0.1035,0.3051,0.1237,FCC
4,1.65,4.75,0.0274,0.0858,0.0548,0.1023,0.304,0.1258,FCC
4,1.95,4.8275,0.0198,0.0697,0.0581,0.0467,0.2672,0.1454,FCC
2,1.9,4.9,0.0205,0.0683,0.0508,0.064,0.2813,0.139,FCC
2,1.9,4.835,0.0213,0.0731,0.0564,0.0632,0.2802,0.1425,FCC
3,1.85,4.875,0.0216,0.0717,0.0509,0.0761,0.2921,0.1373,FCC
3,1.85,4.8425,0.0224,0.0747,0.0541,0.0756,0.2914,0.1391,FCC
2,1.85,4.81,0.0226,0.077,0.0566,0.0749,0.2908,0.141,FCC
1,1.8,4.785,0.0239,0.0805,0.0567,0.084,0.2994,0.1392,FCC
2,1.75,4.825,0.0239,0.0775,0.0511,0.0929,0.3077,0.133,FCC
4,1.75,4.7925,0.0248,0.0809,0.0543,0.092,0.3067,0.1351,FCC
2,1.75,4.76,0.0253,0.0836,0.0568,0.091,0.3058,0.1371,FCC
4,1.7,4.8,0.025,0.08,0.0512,0.0987,0.312,0.1305,FCC
4,1.7,4.7675,0.026,0.0836,0.0545,0.0976,0.3109,0.1326,FCC
3,1.7,4.7025,0.0267,0.0889,0.0588,0.0953,0.3087,0.1369,FCC
4,1.65,4.7425,0.0272,0.0861,0.0546,0.1018,0.3124,0.1299,FCC
4,1.65,4.71,0.0279,0.0892,0.0571,0.1005,0.3111,0.1322,FCC
2,1.95,4.9175,0.0188,0.0638,0.0505,0.0471,0.289,0.146,FCC
3,1.95,4.885,0.0189,0.066,0.0536,0.047,0.2885,0.1478,FCC
3,1.95,4.8525,0.0185,0.0673,0.056,0.0467,0.2879,0.1496,FCC
3,1.9,4.8925,0.02,0.0678,0.0506,0.0638,0.2996,0.1439,FCC
2,1.9,4.86,0.0202,0.0702,0.0538,0.0634,0.2989,0.1459,FCC
3,1.9,4.8275,0.02,0.0719,0.0562,0.063,0.2983,0.1477,FCC
3,1.85,4.8675,0.0212,0.0714,0.0507,0.0758,0.3082,0.1416,FCC
4,1.85,4.835,0.0216,0.0741,0.0539,0.0753,0.3074,0.1436,FCC
4,1.85,4.8025,0.0214,0.076,0.0563,0.0746,0.3066,0.1456,FCC
4,1.8,4.9075,0.02,0.0665,0.0416,0.0865,0.3165,0.1346,FCC
2,1.8,4.8425,0.0224,0.0747,0.0508,0.0852,0.3147,0.139,FCC
4,1.8,4.81,0.0229,0.0776,0.054,0.0844,0.3138,0.1411,FCC
4,1.8,4.7775,0.0229,0.0798,0.0564,0.0836,0.3128,0.1432,FCC
3,1.75,4.8175,0.0236,0.0776,0.0509,0.0925,0.3189,0.1361,FCC
2,1.75,4.7525,0.0243,0.0831,0.0566,0.0906,0.3167,0.1405,FCC
4,1.7,4.76,0.0256,0.0836,0.0542,0.0972,0.319,0.1353,FCC
2,1.7,4.7275,0.0258,0.0862,0.0567,0.096,0.3177,0.1376,FCC
3,1.65,4.735,0.0269,0.0862,0.0543,0.1013,0.3171,0.132,FCC
2,1.95,4.91,0.0179,0.0628,0.0503,0.0469,0.307,0.1496,FCC
4,1.9,4.95,0.018,0.0604,0.0413,0.0642,0.3169,0.1427,FCC
3,1.9,4.885,0.0192,0.0671,0.0504,0.0636,0.3153,0.1469,FCC
3,1.9,4.8525,0.0191,0.0692,0.0535,0.0632,0.3146,0.149,FCC
4,1.9,4.82,0.0185,0.0705,0.0559,0.0627,0.3138,0.151,FCC
4,1.85,4.9575,0.0176,0.0589,0.0347,0.077,0.3243,0.1373,FCC
4,1.85,4.8925,0.0201,0.0678,0.0465,0.0761,0.3226,0.1418,FCC
2,1.85,4.86,0.0205,0.071,0.0505,0.0756,0.3216,0.144,FCC
4,1.85,4.8275,0.0205,0.0733,0.0536,0.075,0.3207,0.1462,FCC
4,1.8,4.835,0.0219,0.0744,0.0506,0.0848,0.3256,0.1409,FCC
2,1.8,4.8025,0.022,0.077,0.0538,0.0841,0.3245,0.1431,FCC
3,1.8,4.77,0.0216,0.0789,0.0562,0.0833,0.3234,0.1453,FCC
3,1.8,4.7375,0.0207,0.0801,0.0579,0.0824,0.3223,0.1475,FCC
3,1.75,4.81,0.0232,0.0775,0.0507,0.0921,0.3269,0.1375,FCC
3,1.75,4.7775,0.0234,0.0803,0.0539,0.0912,0.3256,0.1398,FCC
3,1.75,4.745,0.0231,0.0825,0.0563,0.0902,0.3242,0.1421,FCC
4,1.7,4.7525,0.0249,0.0834,0.054,0.0967,0.3234,0.1362,FCC
4,1.65,4.76,0.0259,0.0829,0.0509,0.1021,0.3191,0.1298,FCC
3,1.95,4.9675,0.0165,0.0561,0.041,0.0469,0.3239,0.1471,FCC
3,1.95,4.805,0.017,0.0633,0.0571,0.0459,0.32,0.1576,FCC
3,1.9,4.975,0.0167,0.0558,0.0345,0.0643,0.3312,0.1414,FCC
4,1.9,4.91,0.0182,0.0637,0.0462,0.0637,0.3294,0.146,FCC
3,1.9,4.8125,0.0174,0.0689,0.0556,0.0624,0.3266,0.1526,FCC
4,1.85,4.95,0.0178,0.0593,0.0346,0.0768,0.3354,0.1377,FCC
3,1.85,4.9175,0.0189,0.0639,0.0412,0.0763,0.3344,0.1401,FCC
3,1.85,4.885,0.0195,0.0675,0.0463,0.0758,0.3333,0.1425,FCC
3,1.85,4.82,0.0193,0.0723,0.0534,0.0747,0.3312,0.1471,FCC
3,1.8,4.795,0.0208,0.0763,0.0535,0.0837,0.332,0.1435,FCC
4,1.8,4.7625,0.0201,0.0778,0.0559,0.0829,0.3307,0.1458,FCC
4,1.75,4.835,0.0222,0.074,0.0465,0.0927,0.3327,0.1346,FCC
