Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,,Pm.2,ΔS,ad-e/n.1,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,,Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,,Pm.4,ΔS.1,EWF.1,ad-e/n.3,δ-VEC,δ-EWF.1,δ-G.2,δ-G/B,,Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
2,8.3525,12.575,0.0292,0.1241,0.064,FCC,2,10.8536,0.0292,61.65,19.064,0.0434,0.0648,0.5033,0.2949,FCC,2,2,4.8575,0.0292,0.1241,0.1026,0.064,0.2949,0.1445,FCC,2,10.8536,4.8575,0.0292,0.167,0.0648,0.2949,0.3265,FCC,2,3.5687,2,4.8575,66.605,0.0292,19.064,0.1241,0.1026,FCC
2,8.3605,12.6,0.0341,0.1439,0.0725,FCC,2,10.3824,0.0341,74.32,19.7165,0.0511,0.0632,0.5106,0.3294,FCC,2,2,4.8975,0.0341,0.1439,0.118,0.0725,0.3294,0.1372,FCC,2,10.3824,4.8975,0.0341,0.1909,0.0632,0.3294,0.3582,FCC,2,2.469,2,4.8975,60.915,0.0341,19.7165,0.1439,0.118,FCC
1,8.0115,14.245,0.0487,0.1935,0.1368,BCC+FCC,1,10.782,0.0487,134.49,23.3055,0.0904,0.0847,0.8398,0.3977,BCC+FCC,1,2,4.8245,0.0487,0.1935,0.1943,0.1368,0.3977,0.1846,BCC+FCC,1,10.782,4.8245,0.0487,0.2491,0.0847,0.3977,0.4396,BCC+FCC,1,1.1824,2,4.8245,60.595,0.0487,23.3055,0.1935,0.1943,BCC+FCC
1,7.47,14.175,0.0474,0.1772,0.1044,BCC+FCC,1,13.1708,0.0474,76.7,27.249,0.0649,0.0523,0.7363,0.4991,BCC+FCC,1,1.7,4.6295,0.0474,0.1772,0.2828,0.1044,0.4991,0.2085,BCC+FCC,1,13.1708,4.6295,0.0474,0.3377,0.0523,0.4991,0.443,BCC+FCC,1,25.1775,1.7,4.6295,61.43,0.0474,27.249,0.1772,0.2828,BCC+FCC
1,7.386,15.815,0.0505,0.1825,0.1122,BCC+FCC,1,12.4412,0.0505,81.075,18.362,0.0663,0.0538,0.8492,0.4791,BCC+FCC,1,1.75,4.6335,0.0505,0.1825,0.3259,0.1122,0.4791,0.1616,BCC+FCC,1,12.4412,4.6335,0.0505,0.366,0.0538,0.4791,0.3999,BCC+FCC,1,10.2973,1.75,4.6335,52.095,0.0505,18.362,0.1825,0.3259,BCC+FCC
1,7.9435,14.005,0.0495,0.1725,0.109,BCC+FCC,1,12.8408,0.0495,49.81,27.217,0.0649,0.0619,0.8116,0.4442,BCC+FCC,1,1.6,4.7605,0.0495,0.1725,0.236,0.109,0.4442,0.1945,BCC+FCC,1,12.8408,4.7605,0.0495,0.2999,0.0619,0.4442,0.3906,BCC+FCC,1,14.8118,1.6,4.7605,66.87,0.0495,27.217,0.1725,0.236,BCC+FCC
1,7.3225,15.035,0.0585,0.1971,0.1124,BCC+FCC,1,13.0871,0.0585,53.31,27.731,0.0724,0.0632,0.8976,0.5062,BCC+FCC,1,1.7,4.6735,0.0585,0.1971,0.3285,0.1124,0.5062,0.1929,BCC+FCC,1,13.0871,4.6735,0.0585,0.3825,0.0632,0.5062,0.3994,BCC+FCC,1,4.6861,1.7,4.6735,61.47,0.0585,27.731,0.1971,0.3285,BCC+FCC
1,7.5555,15.375,0.0417,0.1569,0.1039,BCC+FCC,1,11.217,0.0417,97.84,22.835,0.0654,0.068,0.7789,0.4584,BCC+FCC,1,2.1,4.8585,0.0417,0.1569,0.325,0.1039,0.4584,0.1536,BCC+FCC,1,11.217,4.8585,0.0417,0.3344,0.068,0.4584,0.4016,BCC+FCC,1,1.6052,2.1,4.8585,55.05,0.0417,22.835,0.1569,0.325,BCC+FCC
1,7.41,14.905,0.0409,0.1544,0.0962,BCC+FCC,1,12.2237,0.0409,78.7,24.829,0.0647,0.0735,0.7638,0.4147,BCC+FCC,1,2.15,4.8085,0.0409,0.1544,0.3242,0.0962,0.4147,0.1553,BCC+FCC,1,12.2237,4.8085,0.0409,0.3329,0.0735,0.4147,0.3365,BCC+FCC,1,1.6398,2.15,4.8085,63.01,0.0409,24.829,0.1544,0.3242,BCC+FCC
1,6.8695,14.765,0.0429,0.1641,0.1017,BCC+FCC,1,12.5945,0.0429,61.16,24.948,0.0678,0.0737,0.7271,0.4108,BCC+FCC,1,2.15,4.6575,0.0429,0.1641,0.3593,0.1017,0.4108,0.152,BCC+FCC,1,12.5945,4.6575,0.0429,0.3708,0.0737,0.4108,0.2812,BCC+FCC,1,1.6179,2.15,4.6575,68.04,0.0429,24.948,0.1641,0.3593,BCC+FCC
1,6.8865,14.56,0.0474,0.1737,0.1024,BCC+FCC,1,12.8408,0.0474,55.37,26.1625,0.071,0.0762,0.7656,0.425,BCC+FCC,1,2.1,4.69,0.0474,0.1737,0.3617,0.1024,0.425,0.1683,BCC+FCC,1,12.8408,4.69,0.0474,0.3812,0.0762,0.425,0.3047,BCC+FCC,1,1.5453,2.1,4.69,69.775,0.0474,26.1625,0.1737,0.3617,BCC+FCC
1,6.8655,14.1,0.0523,0.1845,0.1024,BCC+FCC,1,12.377,0.0523,54.42,30.096,0.0745,0.0765,0.832,0.4671,BCC+FCC,1,2,4.715,0.0523,0.1845,0.3643,0.1024,0.4671,0.2089,BCC+FCC,1,12.377,4.715,0.0523,0.3938,0.0765,0.4671,0.3695,BCC+FCC,1,1.4145,2,4.715,71.02,0.0523,30.096,0.1845,0.3643,BCC+FCC
1,7.1165,15.215,0.0491,0.1736,0.1053,BCC+FCC,1,11.9774,0.0491,77.75,27.245,0.0722,0.0763,0.8514,0.4664,BCC+FCC,1,2.15,4.7975,0.0491,0.1736,0.3657,0.1053,0.4664,0.1719,BCC+FCC,1,11.9774,4.7975,0.0491,0.3783,0.0763,0.4664,0.3718,BCC+FCC,1,1.3069,2.15,4.7975,62.045,0.0491,27.245,0.1736,0.3657,BCC+FCC
1,6.9105,14.915,0.0422,0.1588,0.1015,BCC+FCC,1,12.9245,0.0422,78.25,26.905,0.0671,0.071,0.7228,0.4651,BCC+FCC,1,2.15,4.6675,0.0422,0.1588,0.3605,0.1015,0.4651,0.1778,BCC+FCC,1,12.9245,4.6675,0.0422,0.3643,0.071,0.4651,0.3737,BCC+FCC,1,1.6884,2.15,4.6675,61.705,0.0422,26.905,0.1588,0.3605,BCC+FCC
1,6.4865,14.745,0.0459,0.1708,0.1059,BCC+FCC,1,13.0871,0.0459,65.76,30.21,0.0704,0.07,0.7973,0.4912,BCC+FCC,1,2.1,4.6065,0.0459,0.1708,0.3931,0.1059,0.4912,0.1963,BCC+FCC,1,13.0871,4.6065,0.0459,0.4024,0.07,0.4912,0.3593,BCC+FCC,1,1.5714,2.1,4.6065,66.5,0.0459,30.21,0.1708,0.3931,BCC+FCC
1,6.6,15.43,0.0437,0.1619,0.1074,BCC+FCC,1,12.5945,0.0437,80.75,27.1855,0.0688,0.0697,0.7566,0.493,BCC+FCC,1,2.2,4.624,0.0437,0.1619,0.395,0.1074,0.493,0.1765,BCC+FCC,1,12.5945,4.624,0.0437,0.3916,0.0697,0.493,0.3769,BCC+FCC,1,1.5153,2.2,4.624,59.005,0.0437,27.1855,0.1619,0.395,BCC+FCC
1,7.0395,12.5,0.0484,0.1924,0.0862,BCC+FCC,1,12.6521,0.0484,67.92,29.106,0.0738,0.059,0.5663,0.5247,BCC+FCC,1,1.95,4.6025,0.0484,0.1924,0.2855,0.0862,0.5247,0.2151,BCC+FCC,1,12.6521,4.6025,0.0484,0.3105,0.059,0.5247,0.4936,BCC+FCC,1,1.5108,1.95,4.6025,60.16,0.0484,29.106,0.1924,0.2855,BCC+FCC
1,7.37,12.02,0.0436,0.1637,0.077,BCC+FCC,1,11.5758,0.0436,78.24,33.012,0.0675,0.0596,0.5589,0.5248,BCC+FCC,1,1.8,4.6695,0.0436,0.1637,0.2541,0.077,0.5248,0.2603,BCC+FCC,1,11.5758,4.6695,0.0436,0.2848,0.0596,0.5248,0.5355,BCC+FCC,1,2.0064,1.8,4.6695,66.82,0.0436,33.012,0.1637,0.2541,BCC+FCC
1,7.5635,13.655,0.0504,0.1751,0.1022,BCC+FCC,1,11.9058,0.0504,73.37,26.737,0.0705,0.0727,0.7667,0.4321,BCC+FCC,1,2,4.842,0.0504,0.1751,0.2898,0.1022,0.4321,0.1916,BCC+FCC,1,11.9058,4.842,0.0504,0.3279,0.0727,0.4321,0.3992,BCC+FCC,1,1.5355,2,4.842,67.43,0.0504,26.737,0.1751,0.2898,BCC+FCC
1,7.1065,13.97,0.0533,0.187,0.124,BCC+FCC,1,12.6875,0.0533,86.365,26.4805,0.0736,0.0753,0.7192,0.5064,BCC+FCC,1,2.05,4.741,0.0533,0.187,0.3355,0.124,0.5064,0.1945,BCC+FCC,1,12.6875,4.741,0.0533,0.3681,0.0753,0.5064,0.4631,BCC+FCC,1,1.3796,2.05,4.741,58.785,0.0533,26.4805,0.187,0.3355,BCC+FCC
1,7.543,13.56,0.0455,0.1624,0.1357,BCC+FCC,1,12.8408,0.0455,131.955,24.71,0.0813,0.0833,0.9243,0.3912,BCC+FCC,1,1.8,4.6805,0.0455,0.1624,0.2367,0.1357,0.3912,0.249,BCC+FCC,1,12.8408,4.6805,0.0455,0.2925,0.0833,0.3912,0.3866,BCC+FCC,1,2.2326,1.8,4.6805,77.85,0.0455,24.71,0.1624,0.2367,BCC+FCC
1,7.6255,13.94,0.045,0.1582,0.1368,BCC+FCC,1,12.9245,0.045,133.7,25.8615,0.0817,0.0836,0.8812,0.4083,BCC+FCC,1,1.85,4.7055,0.045,0.1582,0.2367,0.1368,0.4083,0.2467,BCC+FCC,1,12.9245,4.7055,0.045,0.2865,0.0836,0.4083,0.4154,BCC+FCC,1,2.1994,1.85,4.7055,74.145,0.045,25.8615,0.1582,0.2367,BCC+FCC
1,6.987,13.345,0.0504,0.1837,0.1133,BCC+FCC,1,11.8937,0.0504,69.31,27.6105,0.0772,0.079,1.0577,0.4192,BCC+FCC,1,1.85,4.681,0.0504,0.1837,0.3249,0.1133,0.4192,0.2262,BCC+FCC,1,11.8937,4.681,0.0504,0.371,0.079,0.4192,0.3422,BCC+FCC,1,1.5178,1.85,4.681,78.815,0.0504,27.6105,0.1837,0.3249,BCC+FCC
1,7.1695,14.855,0.0508,0.177,0.1331,BCC+FCC,1,12.6875,0.0508,110.05,26.404,0.0823,0.0856,1.0845,0.424,BCC+FCC,1,2,4.7185,0.0508,0.177,0.3266,0.1331,0.424,0.2079,BCC+FCC,1,12.6875,4.7185,0.0508,0.3607,0.0856,0.424,0.358,BCC+FCC,1,1.4453,2,4.7185,71.72,0.0508,26.404,0.177,0.3266,BCC+FCC
1,6.994,14.17,0.0464,0.1726,0.1291,BCC+FCC,1,12.9458,0.0464,115.04,30.328,0.0786,0.0802,0.9971,0.4636,BCC+FCC,1,1.9,4.646,0.0464,0.1726,0.3241,0.1291,0.4636,0.2446,BCC+FCC,1,12.9458,4.646,0.0464,0.3577,0.0802,0.4636,0.4025,BCC+FCC,1,1.6622,1.9,4.646,72.71,0.0464,30.328,0.1726,0.3241,BCC+FCC
1,6.9905,14.195,0.0449,0.1684,0.1286,BCC+FCC,1,12.8408,0.0449,119.4,31.633,0.0776,0.0784,0.9404,0.4864,BCC+FCC,1,1.9,4.6385,0.0449,0.1684,0.3238,0.1286,0.4864,0.2531,BCC+FCC,1,12.8408,4.6385,0.0449,0.3524,0.0784,0.4864,0.4335,BCC+FCC,1,1.6934,1.9,4.6385,70.57,0.0449,31.633,0.1684,0.3238,BCC+FCC
1,6.9765,13.42,0.0461,0.1715,0.112,BCC+FCC,1,12.2237,0.0461,97,33.2755,0.0743,0.0739,0.9075,0.492,BCC+FCC,1,1.85,4.6585,0.0461,0.1715,0.3242,0.112,0.492,0.2593,BCC+FCC,1,12.2237,4.6585,0.0461,0.356,0.0739,0.492,0.4387,BCC+FCC,1,1.6857,1.85,4.6585,72.395,0.0461,33.2755,0.1715,0.3242,BCC+FCC
1,7.138,14.205,0.0464,0.1645,0.114,BCC+FCC,1,11.7645,0.0464,110.02,31.414,0.0746,0.0735,0.7887,0.5391,BCC+FCC,1,1.95,4.701,0.0464,0.1645,0.3261,0.114,0.5391,0.2448,BCC+FCC,1,11.7645,4.701,0.0464,0.3459,0.0735,0.5391,0.5143,BCC+FCC,1,1.5734,1.95,4.701,62.845,0.0464,31.414,0.1645,0.3261,BCC+FCC
3,8.38,14.515,0.0271,0.1047,0.1014,FCC,3,12.482,0.0271,79.65,19.204,0.035,0.0564,0.6649,0.3429,FCC,3,1.8,4.8065,0.0271,0.1047,0.1628,0.1014,0.3429,0.1309,FCC,3,12.482,4.8065,0.0271,0.1932,0.0564,0.3429,0.3208,FCC,3,9.6597,1.8,4.8065,58.345,0.0271,19.204,0.1047,0.1628,FCC
4,7.874,14.655,0.0344,0.1318,0.1039,FCC,4,12.1233,0.0344,65.605,20.115,0.0453,0.0552,0.6341,0.3354,FCC,4,1.85,4.6555,0.0344,0.1318,0.2275,0.1039,0.3354,0.1227,FCC,4,12.1233,4.6555,0.0344,0.2584,0.0552,0.3354,0.2599,FCC,4,10.7414,1.85,4.6555,61.725,0.0344,20.115,0.1318,0.2275,FCC
4,8.0135,14.445,0.029,0.1196,0.0902,FCC,4,12.5945,0.029,77.035,21.405,0.0461,0.0639,0.6411,0.3578,FCC,4,2,4.8055,0.029,0.1196,0.2274,0.0902,0.3578,0.1393,FCC,4,12.5945,4.8055,0.029,0.2422,0.0639,0.3578,0.3226,FCC,4,5.6392,2,4.8055,60.945,0.029,21.405,0.1196,0.2274,FCC
1,7.0945,15.72,0.0427,0.1646,0.1099,BCC+FCC,1,11.9774,0.0427,61.34,23.15,0.0665,0.0772,0.7899,0.3802,BCC+FCC,1,2.2,4.73,0.0427,0.1646,0.3624,0.1099,0.3802,0.105,BCC+FCC,1,11.9774,4.73,0.0427,0.3698,0.0772,0.3802,0.2074,BCC+FCC,1,1.5975,2.2,4.73,63.2,0.0427,23.15,0.1646,0.3624,BCC+FCC
1,7.398,14.275,0.0504,0.2085,0.1117,BCC+FCC,1,12.3696,0.0504,83.36,14.611,0.0747,0.0612,0.628,0.4186,BCC+FCC,1,1.95,4.675,0.0504,0.2085,0.2931,0.1117,0.4186,0.1267,BCC+FCC,1,12.3696,4.675,0.0504,0.3312,0.0612,0.4186,0.3916,BCC+FCC,1,1.7519,1.95,4.675,45.97,0.0504,14.611,0.2085,0.2931,BCC+FCC
3,8.339,13.08,0.0335,0.1577,0.1324,FCC,3,11.4299,0.0335,67.6,19.669,0.0495,0.063,0.557,0.3275,FCC,3,2,4.8465,0.0335,0.1577,0.17,0.1324,0.3275,0.1425,FCC,3,11.4299,4.8465,0.0335,0.1925,0.063,0.3275,0.2939,FCC,3,4.3463,2,4.8465,71.315,0.0335,19.669,0.1577,0.17,FCC
1,6.9905,14.055,0.0509,0.2038,0.0975,BCC+FCC,1,12.9821,0.0509,74.325,24.4455,0.077,0.0713,0.659,0.4585,BCC+FCC,1,2.15,4.664,0.0509,0.2038,0.3305,0.0975,0.4585,0.1486,BCC+FCC,1,12.9821,4.664,0.0509,0.3503,0.0713,0.4585,0.3663,BCC+FCC,1,1.1494,2.15,4.664,54.905,0.0509,24.4455,0.2038,0.3305,BCC+FCC
1,7.327,15.18,0.0465,0.1782,0.1018,BCC+FCC,1,11.7645,0.0465,79.325,24.325,0.0715,0.0752,0.8119,0.4228,BCC+FCC,1,2.2,4.8325,0.0465,0.1782,0.3422,0.1018,0.4228,0.1333,BCC+FCC,1,11.7645,4.8325,0.0465,0.3518,0.0752,0.4228,0.3095,BCC+FCC,1,1.1356,2.2,4.8325,58.535,0.0465,24.325,0.1782,0.3422,BCC+FCC
1,7.1545,15.125,0.0541,0.2026,0.1059,BCC+FCC,1,11.8937,0.0541,86.195,23.602,0.0789,0.0764,0.8217,0.4613,BCC+FCC,1,2.2,4.8165,0.0541,0.2026,0.3599,0.1059,0.4613,0.1334,BCC+FCC,1,11.8937,4.8165,0.0541,0.3754,0.0764,0.4613,0.3441,BCC+FCC,1,0.9223,2.2,4.8165,53.485,0.0541,23.602,0.2026,0.3599,BCC+FCC
1,6.917,15.52,0.0477,0.1844,0.11,BCC+FCC,1,12.482,0.0477,75.72,24.715,0.0736,0.0781,0.8045,0.4344,BCC+FCC,1,2.25,4.7315,0.0477,0.1844,0.3785,0.11,0.4344,0.1312,BCC+FCC,1,12.482,4.7315,0.0477,0.3855,0.0781,0.4344,0.2917,BCC+FCC,1,1.134,2.25,4.7315,57.805,0.0477,24.715,0.1844,0.3785,BCC+FCC
4,8.13,13.265,0.028,0.1176,0.071,FCC,4,11.4995,0.028,63.96,20.238,0.0445,0.0659,0.534,0.3195,FCC,4,2.05,4.824,0.028,0.1176,0.1752,0.071,0.3195,0.1462,FCC,4,11.4995,4.824,0.028,0.2021,0.0659,0.3195,0.3252,FCC,4,3.282,2.05,4.824,65.485,0.028,20.238,0.1176,0.1752,FCC
3,8.0715,13.24,0.0251,0.1113,0.071,FCC,3,10.9586,0.0251,65.4,20.89,0.043,0.0633,0.4444,0.3461,FCC,3,2.05,4.7765,0.0251,0.1113,0.1747,0.071,0.3461,0.1528,FCC,3,10.9586,4.7765,0.0251,0.1946,0.0633,0.3461,0.3733,FCC,3,3.4196,2.05,4.7765,61.12,0.0251,20.89,0.1113,0.1747,FCC
1,7.2475,13.67,0.0463,0.1805,0.1214,BCC+FCC,1,12.0349,0.0463,53.8,19.4485,0.0671,0.0791,0.5837,0.3139,BCC+FCC,1,2.15,4.6895,0.0463,0.1805,0.2929,0.1214,0.3139,0.0969,BCC+FCC,1,12.0349,4.6895,0.0463,0.3337,0.0791,0.3139,0.1865,BCC+FCC,1,1.4561,2.15,4.6895,67.455,0.0463,19.4485,0.1805,0.2929,BCC+FCC
4,7.8445,15.985,0.0248,0.1038,0.1704,FCC,4,12.2933,0.0248,146.34,15.855,0.0846,0.0874,0.6719,0.2652,FCC,4,2.05,4.5665,0.0248,0.1038,0.1679,0.1704,0.2652,0.1922,FCC,4,12.2933,4.5665,0.0248,0.1927,0.0874,0.2652,0.3274,FCC,4,3.3847,2.05,4.5665,69.87,0.0248,15.855,0.1038,0.1679,FCC
4,7.4825,16.425,0.0253,0.1059,0.1699,FCC,4,11.8937,0.0253,145.29,18.251,0.0828,0.0784,0.6652,0.3009,FCC,4,2.1,4.4905,0.0253,0.1059,0.2242,0.1699,0.3009,0.1934,FCC,4,11.8937,4.4905,0.0253,0.229,0.0784,0.3009,0.332,FCC,4,2.6525,2.1,4.4905,67.085,0.0253,18.251,0.1059,0.2242,FCC
1,7.4555,14.905,0.054,0.2068,0.1341,BCC+FCC,1,12.1233,0.054,124.45,21.3775,0.0891,0.0825,0.8057,0.4539,BCC+FCC,1,2.1,4.775,0.054,0.2068,0.2959,0.1341,0.4539,0.1635,BCC+FCC,1,12.1233,4.775,0.054,0.3262,0.0825,0.4539,0.4599,BCC+FCC,1,0.9962,2.1,4.775,51.175,0.054,21.3775,0.2068,0.2959,BCC+FCC
1,8.0085,13.21,0.0479,0.1638,0.1005,BCC+FCC,1,12.2237,0.0479,35.85,22.986,0.0571,0.0503,0.5071,0.3598,BCC+FCC,1,1.5,4.639,0.0479,0.1638,0.1754,0.1005,0.3598,0.1661,BCC+FCC,1,12.2237,4.639,0.0479,0.2649,0.0503,0.3598,0.2929,BCC+FCC,1,3.8072,1.5,4.639,73.77,0.0479,22.986,0.1638,0.1754,BCC+FCC
1,7.7995,13.705,0.0516,0.1753,0.1059,BCC+FCC,1,12.8408,0.0516,29.725,24.208,0.0639,0.0614,0.5213,0.3803,BCC+FCC,1,1.6,4.6855,0.0516,0.1753,0.2355,0.1059,0.3803,0.164,BCC+FCC,1,12.8408,4.6855,0.0516,0.3057,0.0614,0.3803,0.2918,BCC+FCC,1,67.5434,1.6,4.6855,73.035,0.0516,24.208,0.1753,0.2355,BCC+FCC
1,7.5395,14.815,0.0435,0.1602,0.1088,BCC+FCC,1,12.2237,0.0435,46.2,21.266,0.0579,0.0608,0.6018,0.3496,BCC+FCC,1,1.85,4.6345,0.0435,0.1602,0.279,0.1088,0.3496,0.1057,BCC+FCC,1,12.2237,4.6345,0.0435,0.3167,0.0608,0.3496,0.2048,BCC+FCC,1,19.0537,1.85,4.6345,67.095,0.0435,21.266,0.1602,0.279,BCC+FCC
1,7.0695,13.905,0.0479,0.1798,0.1023,BCC+FCC,1,13.0295,0.0479,39.225,23.647,0.0687,0.0682,0.593,0.3872,BCC+FCC,1,1.9,4.6335,0.0479,0.1798,0.322,0.1023,0.3872,0.1553,BCC+FCC,1,13.0295,4.6335,0.0479,0.3661,0.0682,0.3872,0.2606,BCC+FCC,1,2.8028,1.9,4.6335,74.645,0.0479,23.647,0.1798,0.322,BCC+FCC
1,7.074,14.415,0.0506,0.1908,0.1052,BCC+FCC,1,13.0295,0.0506,41.25,27.004,0.0679,0.051,0.623,0.435,BCC+FCC,1,1.75,4.5585,0.0506,0.1908,0.3223,0.1052,0.435,0.1652,BCC+FCC,1,13.0295,4.5585,0.0506,0.3804,0.051,0.435,0.2919,BCC+FCC,1,12.9659,1.75,4.5585,69.26,0.0506,27.004,0.1908,0.3223,BCC+FCC
1,6.948,14.925,0.053,0.1897,0.1116,BCC+FCC,1,12.5825,0.053,31.5,25.325,0.0733,0.076,0.6318,0.4121,BCC+FCC,1,2,4.6875,0.053,0.1897,0.364,0.1116,0.4121,0.1403,BCC+FCC,1,12.5825,4.6875,0.053,0.3993,0.076,0.4121,0.2519,BCC+FCC,1,1.8431,2,4.6875,70.55,0.053,25.325,0.1897,0.364,BCC+FCC
1,7.621,15.585,0.0508,0.1788,0.1248,BCC+FCC,1,12.3696,0.0508,112,23.335,0.0782,0.0432,1.1212,0.3939,BCC+FCC,1,1.55,4.478,0.0508,0.1788,0.2333,0.1248,0.3939,0.1761,BCC+FCC,1,12.3696,4.478,0.0508,0.3158,0.0432,0.3939,0.3064,BCC+FCC,1,4.3813,1.55,4.478,67.015,0.0508,23.335,0.1788,0.2333,BCC+FCC
1,7.432,13.76,0.0493,0.1867,0.1173,BCC+FCC,1,12.5108,0.0493,85.9,26.228,0.0732,0.0369,1.0696,0.4008,BCC+FCC,1,1.5,4.483,0.0493,0.1867,0.2322,0.1173,0.4008,0.2023,BCC+FCC,1,12.5108,4.483,0.0493,0.3288,0.0369,0.4008,0.3085,BCC+FCC,1,4.7823,1.5,4.483,75.56,0.0493,26.228,0.1867,0.2322,BCC+FCC
